Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,33,107,344,1,938
 to 8103,39,109,344,1,1475
 to 8104,34,109,344,1,2016
Participant2 to 8103,69,463,694,2,2906
Participant2 to 8104,42,464,694,2,3791
Participant3 to 8104,184,1170,1744,5,5730
Participant5 to 8103,36,121,344,1,6268
Participant5 to 8102,47,121,344,1,6813
Participant5 to 8101,37,121,344,1,7356
Participant6 to 8103,37,121,344,1,7895
Participant6 to 8104,35,121,344,1,8428
Participant6 to 8102,33,120,344,1,8959
Participant7 to 8106,39,121,344,1,9501
Participant7 to 8103,40,121,344,1,10028
Participant7 to 8101,39,121,344,1,10562
Participant8 to 8101,37,121,344,1,11101
Participant8 to 8107,61,121,344,1,11644
Participant8 to 8104,34,120,344,1,12182
Participant9 to 8101,37,121,344,1,12725
Participant9 to 8102,44,121,344,1,13262
Participant9 to 8103,50,121,344,1,13802
Participant10 to 8103,45,122,344,1,14341
Participant10 to 8101,36,122,344,1,14876
Participant10 to 8108,51,122,344,1,15419
Participant11 to 8110,37,121,344,1,15959
Participant11 to 8102,34,122,344,1,16492
Participant11 to 8104,44,121,344,1,17024
Participant12 to 8102,39,120,344,1,17566
Participant12 to 8106,36,122,344,1,18108
Participant12 to 8101,41,122,344,1,18647
Participant13 to 8111,44,122,344,1,19192
Participant13 to 8105,37,122,344,1,19729
Participant13 to 8112,37,122,344,1,20261
Participant14 to 8112,44,122,344,1,20803
Participant14 to 8110,37,122,344,1,21345
Participant14 to 8101,35,120,344,1,21878
Participant15 to 8102,38,122,344,1,22419
Participant15 to 8114,46,122,344,1,22952
Participant15 to 8105,36,122,344,1,23496
