Participant,Time to Receive,Size of Message,Data size on server
Participant2,3,1,938
Participant3,4,1,1475
Participant4,4,1,2016
Participant3,15,2,2906
Participant4,17,2,3791
Participant4,33,5,5730
Participant3,14,1,6268
Participant2,19,1,6813
,14,1,7356
Participant3,13,1,7895
Participant4,14,1,8428
Participant2,13,1,8959
Participant6,12,1,9501
Participant3,15,1,10028
,1,1,10562
,8,1,11101
Participant7,13,1,11644
Participant4,2,1,12182
,15,1,12725
Participant2,1,1,13262
Participant3,1,1,13802
Participant3,3,1,14341
,13,1,14876
Participant8,22,1,15419
Participant10,15,1,15959
Participant2,13,1,16492
Participant4,16,1,17024
Participant2,15,1,17566
Participant6,2,1,18108
,2,1,18647
Participant11,17,1,19192
Participant5,1,1,19729
Participant12,5,1,20261
Participant12,13,1,20803
Participant10,14,1,21345
,13,1,21878
Participant2,1,1,22419
Participant14,17,1,22952
Participant5,14,1,23496
