Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant1 to 8102,16662,5113,6994,20,
participant1 to 8103,16018,5113,6994,20,
participant2 to 8103,33492,5113,6994,20,
participant4 to 8101,17251,5113,6994,20,
participant4 to 8102,16150,5113,6994,20,
participant5 to 8102,15891,5113,6994,20,
participant5 to 8101,45785,5113,6994,20,
participant6 to 8104,15640,5113,6994,20,
participant6 to 8105,1752,5113,6994,20,
participant7 to 8104,34361,5113,6994,20,
participant7 to 8101,15938,5113,6994,20,
participant8 to 8105,30970,5113,6994,20,
participant8 to 8102,30871,5113,6994,20,
participant9 to 8101,15785,5113,6994,20,
participant9 to 8106,15862,5113,6994,20,
participant10 to 8105,15730,5114,6994,20,
participant10 to 8101,16219,5114,6994,20,
participant11 to 8101,31080,5114,6994,20,
participant11 to 8107,32051,5114,6994,20,
participant12 to 8105,16636,5114,6994,20,
participant12 to 8110,16251,5114,6994,20,
participant13 to 8108,30941,5114,6994,20,
participant13 to 8102,16022,5114,6994,20,
participant14 to 8101,16499,5114,6994,20,
participant14 to 8107,15736,5114,6994,20,
participant15 to 8107,17920,5114,6994,20,
participant15 to 8104,15785,5114,6994,20,
participant16 to 8101,31863,5114,6994,20,
participant16 to 8111,45920,5114,6994,20,
participant17 to 8109,45847,5114,6994,20,
participant17 to 8116,16632,5114,6994,20,
participant18 to 8114,15787,5114,6994,20,
participant18 to 8102,61540,5114,6994,20,
participant19 to 8104,15807,5114,6994,20,
participant19 to 8105,16342,5114,6994,20,
participant20 to 8101,16824,5114,6994,20,
participant20 to 8114,15730,5114,6994,20,
