Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,39,108,344,1,935
 to 8103,43,108,344,1,1476
 to 8104,38,109,344,1,2017
 to 8105,33,108,344,1,2558
 to 8106,36,109,344,1,3099
 to 8107,44,108,344,1,3639
 to 8108,42,109,344,1,4173
 to 8109,48,109,344,1,4711
 to 8110,46,109,344,1,5251
 to 8111,56,109,344,1,5786
Participant2 to 8103,43,464,694,2,6672
Participant2 to 8104,47,465,694,2,7558
Participant2 to 8105,53,465,694,2,8454
Participant2 to 8106,51,465,694,2,9335
Participant2 to 8107,51,465,694,2,10221
Participant2 to 8108,34,465,694,2,11106
Participant2 to 8109,51,465,694,2,11993
Participant2 to 8110,34,465,694,2,12878
Participant2 to 8111,37,465,694,2,13758
Participant3 to 8104,59,1174,1744,5,15698
Participant3 to 8105,49,1174,1744,5,17636
Participant3 to 8106,50,1174,1744,5,19577
Participant3 to 8107,63,1174,1744,5,21516
Participant3 to 8108,49,1172,1744,5,23452
Participant3 to 8109,65,1174,1744,5,25392
Participant3 to 8110,60,1174,1744,5,27339
Participant3 to 8111,60,1173,1744,5,29270
Participant4 to 8105,100,2948,4194,12,33657
Participant4 to 8106,100,2947,4194,12,38048
Participant4 to 8107,92,2948,4194,12,42439
Participant4 to 8108,110,2948,4194,12,46829
Participant4 to 8109,100,2948,4194,12,51223
Participant4 to 8110,104,2948,4194,12,55606
Participant4 to 8111,92,2948,4194,12,59992
Participant5 to 8106,181,7221,10144,29,70327
Participant5 to 8107,231,7221,10144,29,80661
Participant5 to 8108,222,7221,10144,29,90999
Participant5 to 8109,201,7221,10144,29,101335
Participant5 to 8110,201,7221,10144,29,111674
Participant5 to 8111,198,7220,10144,29,122016
Participant6 to 8107,422,17507,24144,70,146359
Participant6 to 8108,400,17507,24144,70,170700
Participant6 to 8109,421,17507,24144,70,195035
Participant6 to 8110,481,17507,24144,70,219374
Participant6 to 8111,454,17507,24144,70,243711
Participant7 to 8108,818,42026,57744,168,301652
Participant7 to 8109,854,42026,57744,168,359592
Participant7 to 8110,841,42026,57744,168,417528
Participant7 to 8111,868,42026,57744,168,475468
Participant8 to 8109,2014,100633,137894,402,613554
Participant8 to 8110,1948,100634,137894,402,751649
Participant8 to 8111,1969,100633,137894,402,889735
Participant9 to 8110,4920,240661,329344,960,1219274
Participant9 to 8111,5072,240661,329344,960,1548810
Participant10 to 8111,12996,574951,786094,2291,2335099
Participant12 to 8104,615,122,344,1,2335640
Participant12 to 8108,684,122,344,1,2336174
Participant12 to 8106,663,122,344,1,2336713
Participant12 to 8111,585,122,344,1,2337250
Participant12 to 8101,699,122,344,1,2337788
Participant12 to 8102,638,121,344,1,2338326
Participant12 to 8103,801,122,344,1,2338863
Participant12 to 8110,720,122,344,1,2339401
Participant12 to 8107,735,122,344,1,2339932
Participant12 to 8109,632,122,344,1,2340465
Participant13 to 8107,667,122,344,1,2341003
Participant13 to 8103,784,122,344,1,2341540
Participant13 to 8104,760,121,344,1,2342069
Participant13 to 8106,801,122,344,1,2342603
Participant13 to 8102,735,122,344,1,2343139
Participant13 to 8112,798,122,344,1,2343681
Participant13 to 8105,762,122,344,1,2344219
Participant13 to 8109,917,122,344,1,2344759
Participant13 to 8101,1241,122,344,1,2345306
Participant13 to 8111,946,122,344,1,2345847
Participant14 to 8101,1353,122,344,1,2346380
Participant14 to 8108,1301,122,344,1,2346919
Participant14 to 8110,785,122,344,1,2347448
Participant14 to 8111,839,122,344,1,2347989
Participant14 to 8112,787,122,344,1,2348524
Participant14 to 8104,786,122,344,1,2349060
Participant14 to 8109,785,122,344,1,2349603
Participant14 to 8103,849,122,344,1,2350144
Participant14 to 8113,810,122,344,1,2350680
Participant14 to 8107,772,122,344,1,2351225
Participant15 to 8101,866,122,344,1,2351767
Participant15 to 8102,928,122,344,1,2352304
Participant15 to 8112,730,122,344,1,2352845
Participant15 to 8103,847,122,344,1,2353384
Participant15 to 8106,983,121,344,1,2353925
Participant15 to 8113,796,122,344,1,2354467
Participant15 to 8114,854,122,344,1,2355009
Participant15 to 8105,877,122,344,1,2355550
Participant15 to 8111,863,122,344,1,2356092
Participant15 to 8108,757,122,344,1,2356632
