Participant,Time to Receive,Size of Message,Data size on server
participant2,1335,20,
participant3,1334,20,
participant4,1289,20,
participant5,1032,20,
participant6,1374,20,
participant7,1233,20,
participant8,1323,20,
participant3,553,20,
participant4,542,20,
participant5,559,20,
participant6,528,20,
participant7,488,20,
participant8,512,20,
participant4,496,20,
participant5,583,20,
participant6,538,20,
participant7,531,20,
participant8,566,20,
participant5,469,20,
participant6,485,20,
participant7,548,20,
participant8,508,20,
participant6,550,20,
participant7,514,20,
participant8,485,20,
participant7,483,20,
participant8,506,20,
participant8,519,20,
participant5,589,20,
participant7,502,20,
participant3,601,20,
participant2,641,20,
participant1,524,20,
participant4,616,20,
participant6,520,20,
participant1,440,20,
participant6,491,20,
participant4,522,20,
participant9,599,20,
participant2,549,20,
participant5,534,20,
participant8,502,20,
participant7,503,20,
participant4,519,20,
participant3,540,20,
participant1,542,20,
participant9,542,20,
participant10,541,20,
participant8,533,20,
participant11,511,20,
participant1,527,20,
participant7,515,20,
participant9,545,20,
participant8,506,20,
participant3,554,20,
participant4,473,20,
participant1,472,20,
participant9,530,20,
participant11,532,20,
participant3,518,20,
participant4,470,20,
participant8,540,20,
participant7,621,20,
participant2,518,20,
participant4,481,20,
participant7,466,20,
participant11,558,20,
participant9,493,20,
participant1,489,20,
participant8,517,20,
participant4,516,20,
participant11,597,20,
participant2,463,20,
participant10,489,20,
participant8,524,20,
participant12,483,20,
participant1,568,20,
participant11,545,20,
participant2,579,20,
participant8,507,20,
participant12,507,20,
participant15,522,20,
participant6,549,20,
participant5,561,20,
participant12,524,20,
participant16,498,20,
participant4,536,20,
participant11,544,20,
participant5,524,20,
participant14,509,20,
participant8,574,20,
participant5,491,20,
participant8,547,20,
participant11,552,20,
participant10,491,20,
participant6,591,20,
participant15,498,20,
participant1,562,20,
participant18,595,20,
participant15,698,20,
participant1,526,20,
participant8,590,20,
participant6,638,20,
participant9,545,20,
participant4,454,20,
participant9,600,20,
participant8,674,20,
participant4,778,20,
participant15,572,20,
participant7,592,20,
participant6,566,20,
participant12,550,20,
