Participant,Time to Receive,Size of Message,Data size on server
participant2,1452,28,
participant3,1504,28,
participant4,1515,28,
participant5,1504,28,
participant6,1706,28,
participant7,1413,28,
participant8,1565,28,
participant9,1431,28,
participant10,1365,28,
participant11,1170,28,
participant12,1254,28,
participant13,1222,28,
participant14,1274,28,
participant15,1216,28,
participant16,1508,28,
participant3,634,28,
participant4,705,28,
participant5,757,28,
participant6,645,28,
participant7,824,28,
participant8,734,28,
participant9,723,28,
participant10,744,28,
participant11,677,28,
participant12,684,28,
participant13,668,28,
participant14,715,28,
participant15,685,28,
participant16,712,28,
participant4,675,28,
participant5,759,28,
participant6,698,28,
participant7,689,28,
participant8,767,28,
participant9,615,28,
participant10,701,28,
participant11,725,28,
participant12,668,28,
participant13,775,28,
participant14,711,28,
participant15,728,28,
participant16,826,28,
participant5,728,28,
participant6,666,28,
participant7,732,28,
participant8,723,28,
participant9,646,28,
participant10,703,28,
participant11,648,28,
participant12,655,28,
participant13,732,28,
participant14,769,28,
participant15,745,28,
participant16,805,28,
participant6,686,28,
participant7,789,28,
participant8,733,28,
participant9,741,28,
participant10,693,28,
participant11,739,28,
participant12,780,28,
participant13,804,28,
participant14,682,28,
participant15,670,28,
participant16,742,28,
participant7,669,28,
participant8,649,28,
participant9,637,28,
participant10,768,28,
participant11,773,28,
participant12,675,28,
participant13,791,28,
participant14,723,28,
participant15,726,28,
participant16,773,28,
participant8,830,28,
participant9,644,28,
participant10,685,28,
participant11,634,28,
participant12,628,28,
participant13,714,28,
participant14,756,28,
participant15,702,28,
participant16,666,28,
participant9,699,28,
participant10,689,28,
participant11,684,28,
participant12,731,28,
participant13,653,28,
participant14,752,28,
participant15,704,28,
participant16,676,28,
participant10,823,28,
participant11,674,28,
participant12,724,28,
participant13,693,28,
participant14,732,28,
participant15,732,28,
participant16,628,28,
participant11,728,28,
participant12,704,28,
participant13,813,28,
participant14,653,28,
participant15,612,28,
participant16,771,28,
participant12,672,28,
participant13,689,28,
participant14,833,28,
participant15,644,28,
participant16,716,28,
participant13,676,28,
participant14,735,28,
participant15,758,28,
participant16,729,28,
participant14,726,28,
participant15,655,28,
participant16,757,28,
participant15,656,28,
participant16,736,28,
participant16,675,28,
participant8,683,28,
participant11,692,28,
participant12,696,28,
participant1,699,28,
participant5,715,28,
participant13,671,28,
participant10,678,28,
participant14,775,28,
participant6,697,28,
participant7,690,28,
participant3,404,28,
participant2,695,28,
participant15,716,28,
participant9,766,28,
participant16,739,28,
participant3,731,28,
participant14,746,28,
participant2,631,28,
participant9,724,28,
participant11,664,28,
participant5,665,28,
participant16,691,28,
participant1,851,28,
participant7,710,28,
participant8,584,28,
participant10,667,28,
participant17,747,28,
participant15,676,28,
participant6,750,28,
participant12,695,28,
participant12,717,28,
participant17,711,28,
participant6,719,28,
participant4,731,28,
participant16,687,28,
participant5,631,28,
participant13,720,28,
participant9,679,28,
participant8,730,28,
participant3,639,28,
participant2,739,28,
participant7,722,28,
participant11,684,28,
participant10,708,28,
participant1,712,28,
participant5,778,28,
participant2,723,28,
participant6,736,28,
participant12,678,28,
participant7,793,28,
participant16,617,28,
participant17,687,28,
participant15,679,28,
participant10,727,28,
participant19,726,28,
participant4,741,28,
participant13,796,28,
participant14,766,28,
participant9,771,28,
participant3,668,28,
