Participant,Time to Receive,Size of Message,Data size on server
Participant2,5,1,932
Participant3,5,1,1474
Participant3,15,2,2367
,4,1,2903
Participant3,14,1,3438
,5,1,3971
Participant3,4,1,4511
Participant2,16,1,5048
Participant3,5,1,5585
Participant4,12,1,6114
,14,1,6655
Participant4,15,1,7197
,3,1,7729
Participant3,14,1,8268
Participant5,4,1,8811
Participant8,24,1,9348
Participant4,2,1,9891
Participant5,5,1,10436
Participant2,3,1,10974
,9,1,11516
Participant3,11,1,12057
Participant11,16,1,12591
Participant8,32,1,13122
Participant4,5,1,13659
Participant8,2,1,14188
Participant3,3,1,14732
Participant11,5,1,15276
