Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,48,109,344,1,932
 to 8103,76,109,344,1,1474
Participant2 to 8103,76,465,694,2,2367
Participant4 to 8101,50,121,344,1,2903
Participant4 to 8103,38,121,344,1,3438
Participant5 to 8101,41,121,344,1,3971
Participant5 to 8103,43,121,344,1,4511
Participant6 to 8102,59,120,344,1,5048
Participant6 to 8103,46,121,344,1,5585
Participant7 to 8104,51,121,344,1,6114
Participant7 to 8101,41,120,344,1,6655
Participant8 to 8104,44,121,344,1,7197
Participant8 to 8101,41,121,344,1,7729
Participant9 to 8103,52,121,344,1,8268
Participant9 to 8105,55,121,344,1,8811
Participant10 to 8108,71,122,344,1,9348
Participant10 to 8104,42,122,344,1,9891
Participant11 to 8105,47,122,344,1,10436
Participant11 to 8102,44,121,344,1,10974
Participant12 to 8101,52,122,344,1,11516
Participant12 to 8103,61,122,344,1,12057
Participant13 to 8111,72,121,344,1,12591
Participant13 to 8108,69,122,344,1,13122
Participant14 to 8104,58,121,344,1,13659
Participant14 to 8108,51,122,344,1,14188
Participant15 to 8103,50,122,344,1,14732
Participant15 to 8111,55,122,344,1,15276
