Participant,Time to Receive,Size of Message,Data size on server
Participant2,7,1,946
Participant3,6,1,1487
Participant4,38,1,2021
Participant5,13,1,2561
Participant6,3,1,3086
Participant7,3,1,3618
Participant8,3,1,4155
Participant9,4,1,4699
Participant10,4,1,5236
Participant11,4,1,5781
Participant3,4,2,6675
Participant4,27,2,7568
Participant5,10,2,8450
Participant6,18,2,9346
Participant7,15,2,10227
Participant8,15,2,11114
Participant9,12,2,12000
Participant10,22,2,12881
Participant11,19,2,13767
Participant4,23,5,15694
Participant5,11,5,17642
Participant6,15,5,19577
Participant7,21,5,21516
Participant8,23,5,23455
Participant9,15,5,25398
Participant10,21,5,27329
Participant11,13,5,29265
Participant5,51,12,33659
Participant6,54,12,38042
Participant7,60,12,42430
Participant8,77,12,46821
Participant9,64,12,51205
Participant10,46,12,55589
Participant11,53,12,59976
Participant6,134,29,70320
Participant7,112,29,80650
Participant8,126,29,90992
Participant9,126,29,101326
Participant10,132,29,111667
Participant11,121,29,121996
Participant7,289,70,146337
Participant8,299,70,170674
Participant9,383,70,195016
Participant10,334,70,219353
Participant11,290,70,243693
Participant8,629,168,301629
Participant9,636,168,359570
Participant10,657,168,417507
Participant11,677,168,475439
Participant9,1563,402,613524
Participant10,1549,402,751612
Participant11,1633,402,889704
Participant10,3836,960,1219245
Participant11,3931,960,1548792
Participant11,9776,2292,2335433
,435,1,2335966
Participant8,190,1,2336499
Participant4,403,1,2337039
Participant2,388,1,2337579
Participant5,180,1,2338123
Participant9,169,1,2338660
Participant11,188,1,2339201
Participant6,186,1,2339741
Participant3,425,1,2340280
Participant7,193,1,2340822
Participant4,759,1,2341364
Participant10,199,1,2341896
Participant12,203,1,2342442
,1459,1,2342980
Participant2,1186,1,2343517
Participant3,916,1,2344063
Participant6,431,1,2344602
Participant7,162,1,2345140
Participant5,839,1,2345678
Participant11,218,1,2346216
Participant11,232,1,2346759
Participant5,979,1,2347291
Participant6,567,1,2347834
Participant2,1037,1,2348373
Participant8,461,1,2348912
Participant13,1816,1,2349456
Participant10,169,1,2349993
Participant9,173,1,2350531
Participant12,174,1,2351064
Participant4,1176,1,2351609
Participant3,1513,1,2352144
Participant6,1062,1,2352683
Participant7,1243,1,2353222
,1486,1,2353768
Participant9,169,1,2354296
Participant8,883,1,2354830
Participant2,1474,1,2355371
Participant11,201,1,2355917
Participant5,1140,1,2356458
Participant10,336,1,2357000
