Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant1 to 8102,32263,5113,6994,20,
participant1 to 8103,16141,5113,6994,20,
participant2 to 8103,16739,5113,6994,20,
participant4 to 8103,18620,5113,6994,20,
participant4 to 8102,16209,5113,6994,20,
participant5 to 8104,16996,5113,6994,20,
participant5 to 8103,15821,5113,6994,20,
participant6 to 8102,15848,5113,6994,20,
participant6 to 8101,16486,5113,6994,20,
participant7 to 8101,16206,5113,6994,20,
participant7 to 8102,16079,5113,6994,20,
participant8 to 8102,15774,5113,6994,20,
participant8 to 8101,16826,5113,6994,20,
participant9 to 8104,15873,5113,6994,20,
participant9 to 8106,60830,5113,6994,20,
participant10 to 8104,31275,5114,6994,20,
participant10 to 8107,16037,5114,6994,20,
participant11 to 8102,16225,5114,6994,20,
participant11 to 8108,45851,5114,6994,20,
participant12 to 8105,15809,5114,6994,20,
participant12 to 8101,32146,5114,6994,20,
participant13 to 8108,31162,5114,6994,20,
participant13 to 8102,46924,5114,6994,20,
participant14 to 8103,17534,5114,6994,20,
participant14 to 8102,17539,5114,6994,20,
participant15 to 8109,15688,5114,6994,20,
participant15 to 8103,16252,5114,6994,20,
participant16 to 8106,31059,5114,6994,20,
participant16 to 8109,15697,5114,6994,20,
participant17 to 8101,15825,5114,6994,20,
participant17 to 8110,31323,5114,6994,20,
participant18 to 8112,16974,5114,6994,20,
participant18 to 8108,31409,5114,6994,20,
participant19 to 8101,15845,5114,6994,20,
participant19 to 8102,15915,5114,6994,20,
participant20 to 8102,17917,5114,6994,20,
participant20 to 8107,30791,5114,6994,20,
