Participant,Time to Receive,Size of Message,Data size on server
participant2,761,20,
participant3,676,20,
participant3,557,20,
participant3,558,20,
participant2,613,20,
participant4,571,20,
participant3,557,20,
participant2,557,20,
participant1,575,20,
participant1,526,20,
participant2,604,20,
participant2,531,20,
participant1,542,20,
participant4,505,20,
participant6,503,20,
participant4,514,20,
participant7,509,20,
participant2,508,20,
participant8,509,20,
participant5,510,20,
participant1,575,20,
participant8,553,20,
participant2,639,20,
participant3,589,20,
participant2,551,20,
participant9,517,20,
participant3,513,20,
participant6,605,20,
participant9,510,20,
participant1,591,20,
participant10,448,20,
participant12,577,20,
participant8,547,20,
participant1,530,20,
participant2,693,20,
participant2,730,20,
participant7,561,20,
