Participant,Time to Receive,Size of Message,Data size on server
Participant2,3,1,935
Participant3,4,1,1475
Participant3,15,2,2364
,15,1,2901
Participant3,14,1,3439
Participant2,22,1,3979
,14,1,4515
Participant2,14,1,5055
,22,1,5594
,14,1,6137
Participant3,14,1,6676
Participant3,2,1,7220
,32,1,7757
Participant6,3,1,8298
Participant8,8,1,8840
Participant4,7,1,9373
Participant7,7,1,9910
Participant6,25,1,10456
,13,1,10993
Participant2,3,1,11528
Participant9,18,1,12058
Participant9,9,1,12596
Participant12,7,1,13134
Participant2,8,1,13683
Participant3,12,1,14214
,7,1,14752
Participant6,3,1,15290
