Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,34,109,344,1,935
 to 8103,40,108,344,1,1475
Participant2 to 8103,53,463,694,2,2364
Participant4 to 8101,42,121,344,1,2901
Participant4 to 8103,38,121,344,1,3439
Participant5 to 8102,54,121,344,1,3979
Participant5 to 8101,40,121,344,1,4515
Participant6 to 8102,39,121,344,1,5055
Participant6 to 8101,48,121,344,1,5594
Participant7 to 8101,39,120,344,1,6137
Participant7 to 8103,44,120,344,1,6676
Participant8 to 8103,39,121,344,1,7220
Participant8 to 8101,64,120,344,1,7757
Participant9 to 8106,49,121,344,1,8298
Participant9 to 8108,51,121,344,1,8840
Participant10 to 8104,54,122,344,1,9373
Participant10 to 8107,62,121,344,1,9910
Participant11 to 8106,59,122,344,1,10456
Participant11 to 8101,82,121,344,1,10993
Participant12 to 8102,57,121,344,1,11528
Participant12 to 8109,63,121,344,1,12058
Participant13 to 8109,78,121,344,1,12596
Participant13 to 8112,68,122,344,1,13134
Participant14 to 8102,67,122,344,1,13683
Participant14 to 8103,68,121,344,1,14214
Participant15 to 8101,58,122,344,1,14752
Participant15 to 8106,54,122,344,1,15290
