Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant1 to 8102,50105,5113,6994,20,
participant1 to 8103,16431,5113,6994,20,
participant1 to 8104,16360,5113,6994,20,
participant1 to 8105,16206,5113,6994,20,
participant1 to 8106,16129,5113,6994,20,
participant2 to 8103,16940,5113,6994,20,
participant2 to 8104,31576,5113,6994,20,
participant2 to 8105,61341,5113,6994,20,
participant2 to 8106,17191,5113,6994,20,
participant3 to 8104,15799,5113,6994,20,
participant3 to 8105,15992,5113,6994,20,
participant3 to 8106,15812,5113,6994,20,
participant4 to 8105,16094,5113,6994,20,
participant4 to 8106,30960,5113,6994,20,
participant5 to 8106,16541,5113,6994,20,
participant7 to 8102,15980,5113,6994,20,
participant7 to 8103,15868,5113,6994,20,
participant7 to 8101,15815,5113,6994,20,
participant7 to 8105,30792,5113,6994,20,
participant7 to 8106,15989,5113,6994,20,
participant8 to 8105,16620,5113,6994,20,
participant8 to 8106,15946,5113,6994,20,
participant8 to 8103,15794,5113,6994,20,
participant8 to 8102,16316,5113,6994,20,
participant8 to 8104,30824,5113,6994,20,
participant9 to 8105,15892,5113,6994,20,
participant9 to 8106,16588,5113,6994,20,
participant9 to 8108,15908,5113,6994,20,
participant9 to 8104,15748,5113,6994,20,
participant9 to 8101,15798,5113,6994,20,
participant10 to 8102,16579,5114,6994,20,
participant10 to 8101,30956,5114,6994,20,
participant10 to 8103,16857,5114,6994,20,
participant10 to 8109,30899,5114,6994,20,
participant10 to 8104,16077,5114,6994,20,
participant11 to 8106,16087,5114,6994,20,
participant11 to 8108,16854,5114,6994,20,
participant11 to 8103,15758,5114,6994,20,
participant11 to 8104,15695,5114,6994,20,
participant11 to 8109,31932,5114,6994,20,
participant12 to 8110,16160,5114,6994,20,
participant12 to 8105,17178,5114,6994,20,
participant12 to 8108,30866,5114,6994,20,
participant12 to 8102,15744,5114,6994,20,
participant12 to 8103,47242,5114,6994,20,
participant13 to 8102,32837,5114,6994,20,
participant13 to 8105,15837,5114,6994,20,
participant13 to 8109,16325,5114,6994,20,
participant13 to 8103,15982,5114,6994,20,
participant13 to 8112,30733,5114,6994,20,
participant14 to 8110,31040,5114,6994,20,
participant14 to 8101,15787,5114,6994,20,
participant14 to 8108,45720,5114,6994,20,
participant14 to 8107,15977,5114,6994,20,
participant14 to 8109,31583,5114,6994,20,
participant15 to 8110,17686,5114,6994,20,
participant15 to 8101,16054,5114,6994,20,
participant15 to 8114,16999,5114,6994,20,
participant15 to 8111,15874,5114,6994,20,
participant15 to 8109,17058,5114,6994,20,
participant16 to 8110,15774,5114,6994,20,
participant16 to 8101,16082,5114,6994,20,
participant16 to 8109,16108,5114,6994,20,
participant16 to 8112,16439,5114,6994,20,
participant16 to 8114,15722,5114,6994,20,
participant17 to 8114,15988,5114,6994,20,
participant17 to 8105,16142,5114,6994,20,
participant17 to 8106,30898,5114,6994,20,
participant17 to 8111,16590,5114,6994,20,
participant17 to 8108,16657,5114,6994,20,
participant18 to 8111,15730,5114,6994,20,
participant18 to 8105,31029,5114,6994,20,
participant18 to 8107,30796,5114,6994,20,
participant18 to 8112,15744,5114,6994,20,
participant18 to 8113,16209,5114,6994,20,
participant19 to 8104,30742,5114,6994,20,
participant19 to 8101,30770,5114,6994,20,
participant19 to 8116,16869,5114,6994,20,
participant19 to 8109,31490,5114,6994,20,
participant19 to 8114,15802,5114,6994,20,
participant20 to 8108,16447,5114,6994,20,
participant20 to 8103,16066,5114,6994,20,
participant20 to 8116,17502,5114,6994,20,
participant20 to 8109,16715,5114,6994,20,
participant20 to 8101,15948,5114,6994,20,
