Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant1 to 8102,19166,5113,6994,20,
participant1 to 8103,18824,5113,6994,20,
participant1 to 8104,19022,5113,6994,20,
participant1 to 8105,17059,5113,6994,20,
participant1 to 8106,17124,5113,6994,20,
participant1 to 8107,32924,5113,6994,20,
participant1 to 8108,19245,5113,6994,20,
participant2 to 8103,15965,5113,6994,20,
participant2 to 8104,16668,5113,6994,20,
participant2 to 8105,16665,5113,6994,20,
participant2 to 8106,16067,5113,6994,20,
participant2 to 8107,46953,5113,6994,20,
participant2 to 8108,31198,5113,6994,20,
participant3 to 8104,46058,5113,6994,20,
participant3 to 8105,16025,5113,6994,20,
participant3 to 8106,16559,5113,6994,20,
participant3 to 8107,16963,5113,6994,20,
participant3 to 8108,15854,5113,6994,20,
participant4 to 8105,17086,5113,6994,20,
participant4 to 8106,15954,5113,6994,20,
participant4 to 8107,16861,5113,6994,20,
participant4 to 8108,15743,5113,6994,20,
participant5 to 8106,46283,5113,6994,20,
participant5 to 8107,16615,5113,6994,20,
participant5 to 8108,31578,5113,6994,20,
participant6 to 8107,15765,5113,6994,20,
participant6 to 8108,15896,5113,6994,20,
participant7 to 8108,48089,5113,6994,20,
participant9 to 8105,18719,5113,6994,20,
participant9 to 8107,17810,5113,6994,20,
participant9 to 8103,18761,5113,6994,20,
participant9 to 8102,16181,5113,6994,20,
participant9 to 8101,32116,5113,6994,20,
participant9 to 8104,16643,5113,6994,20,
participant9 to 8106,15876,5113,6994,20,
participant10 to 8101,16954,5114,6994,20,
participant10 to 8106,15758,5114,6994,20,
participant10 to 8104,15885,5114,6994,20,
participant10 to 8109,31005,5114,6994,20,
participant10 to 8102,16323,5114,6994,20,
participant10 to 8105,16069,5114,6994,20,
participant10 to 8108,16722,5114,6994,20,
participant11 to 8107,17125,5114,6994,20,
participant11 to 8104,1398,5114,6994,20,
participant11 to 8103,16073,5114,6994,20,
participant11 to 8101,16019,5114,6994,20,
participant11 to 8109,16079,5114,6994,20,
participant11 to 8110,16100,5114,6994,20,
participant11 to 8108,30777,5114,6994,20,
participant12 to 8111,46641,5114,6994,20,
participant12 to 8101,16002,5114,6994,20,
participant12 to 8107,2268,5114,6994,20,
participant12 to 8109,17194,5114,6994,20,
participant12 to 8108,15770,5114,6994,20,
participant12 to 8103,31522,5114,6994,20,
participant12 to 8104,16551,5114,6994,20,
participant13 to 8101,16669,5114,6994,20,
participant13 to 8109,15738,5114,6994,20,
participant13 to 8111,15899,5114,6994,20,
participant13 to 8103,30747,5114,6994,20,
participant13 to 8104,18081,5114,6994,20,
participant13 to 8108,16096,5114,6994,20,
participant13 to 8107,16470,5114,6994,20,
participant14 to 8102,47839,5114,6994,20,
participant14 to 8104,18406,5114,6994,20,
participant14 to 8107,16585,5114,6994,20,
participant14 to 8111,17438,5114,6994,20,
participant14 to 8109,45798,5114,6994,20,
participant14 to 8101,47363,5114,6994,20,
participant14 to 8108,32146,5114,6994,20,
participant15 to 8104,16628,5114,6994,20,
participant15 to 8111,15962,5114,6994,20,
participant15 to 8102,30972,5114,6994,20,
participant15 to 8110,30824,5114,6994,20,
participant15 to 8108,15807,5114,6994,20,
participant15 to 8112,30798,5114,6994,20,
participant15 to 8101,16849,5114,6994,20,
participant16 to 8111,16655,5114,6994,20,
participant16 to 8102,15912,5114,6994,20,
participant16 to 8108,16051,5114,6994,20,
participant16 to 8112,15748,5114,6994,20,
participant16 to 8115,31693,5114,6994,20,
participant16 to 8106,15921,5114,6994,20,
participant16 to 8105,16392,5114,6994,20,
participant17 to 8112,16873,5114,6994,20,
participant17 to 8116,30917,5114,6994,20,
participant17 to 8104,15873,5114,6994,20,
participant17 to 8111,15742,5114,6994,20,
participant17 to 8105,15915,5114,6994,20,
participant17 to 8114,15726,5114,6994,20,
participant17 to 8108,18391,5114,6994,20,
participant18 to 8105,16478,5114,6994,20,
participant18 to 8108,15966,5114,6994,20,
participant18 to 8111,32389,5114,6994,20,
participant18 to 8110,16785,5114,6994,20,
participant18 to 8106,16009,5114,6994,20,
participant18 to 8115,75858,5114,6994,20,
participant18 to 8101,16571,5114,6994,20,
participant19 to 8118,31977,5114,6994,20,
participant19 to 8115,47571,5114,6994,20,
participant19 to 8101,31471,5114,6994,20,
participant19 to 8108,16568,5114,6994,20,
participant19 to 8106,16591,5114,6994,20,
participant19 to 8109,30890,5114,6994,20,
participant19 to 8104,61653,5114,6994,20,
participant20 to 8109,17399,5114,6994,20,
participant20 to 8108,31065,5114,6994,20,
participant20 to 8104,17310,5114,6994,20,
participant20 to 8115,16080,5114,6994,20,
participant20 to 8107,15826,5114,6994,20,
participant20 to 8106,30885,5114,6994,20,
participant20 to 8112,16908,5114,6994,20,
