Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,55,109,344,1,932
 to 8103,56,109,344,1,1475
 to 8104,55,109,344,1,2018
 to 8105,59,109,344,1,2554
 to 8106,41,109,344,1,3094
 to 8107,68,108,344,1,3634
 to 8108,51,109,344,1,4168
Participant2 to 8103,73,462,694,2,5056
Participant2 to 8104,87,463,694,2,5946
Participant2 to 8105,79,464,694,2,6837
Participant2 to 8106,73,464,694,2,7732
Participant2 to 8107,66,463,694,2,8620
Participant2 to 8108,68,463,694,2,9510
Participant3 to 8104,87,1167,1744,5,11452
Participant3 to 8105,55,1167,1744,5,13392
Participant3 to 8106,105,1167,1744,5,15323
Participant3 to 8107,113,1167,1744,5,17267
Participant3 to 8108,107,1167,1744,5,19213
Participant4 to 8105,163,2951,4194,12,23600
Participant4 to 8106,153,2950,4194,12,27997
Participant4 to 8107,196,2951,4194,12,32396
Participant4 to 8108,150,2951,4194,12,36790
Participant5 to 8106,292,7208,10144,29,47130
Participant5 to 8107,327,7208,10144,29,57458
Participant5 to 8108,321,7208,10144,29,67798
Participant6 to 8107,628,17513,24144,70,92134
Participant6 to 8108,725,17513,24144,70,116474
Participant7 to 8108,1989,42042,57744,168,174419
Participant9 to 8108,181,121,344,1,174957
Participant9 to 8101,185,121,344,1,175492
Participant9 to 8107,169,121,344,1,176030
Participant9 to 8103,200,121,344,1,176561
Participant9 to 8104,222,121,344,1,177096
Participant9 to 8102,206,121,344,1,177642
Participant9 to 8105,238,121,344,1,178188
Participant10 to 8107,235,122,344,1,178723
Participant10 to 8104,215,122,344,1,179258
Participant10 to 8102,287,122,344,1,179794
Participant10 to 8103,247,122,344,1,180327
Participant10 to 8109,249,121,344,1,180860
Participant10 to 8108,340,122,344,1,181398
Participant10 to 8106,309,122,344,1,181933
Participant11 to 8110,262,121,344,1,182468
Participant11 to 8108,283,121,344,1,183008
Participant11 to 8101,266,120,344,1,183555
Participant11 to 8107,276,122,344,1,184092
Participant11 to 8105,297,122,344,1,184629
Participant11 to 8102,338,121,344,1,185174
Participant11 to 8103,372,122,344,1,185715
Participant12 to 8106,322,122,344,1,186248
Participant12 to 8108,332,122,344,1,186786
Participant12 to 8103,269,122,344,1,187327
Participant12 to 8101,268,120,344,1,187866
Participant12 to 8102,314,122,344,1,188404
Participant12 to 8110,259,122,344,1,188950
Participant12 to 8104,328,122,344,1,189484
Participant13 to 8103,189,122,344,1,190019
Participant13 to 8111,169,122,344,1,190553
Participant13 to 8105,153,121,344,1,191092
Participant13 to 8107,155,122,344,1,191628
Participant13 to 8102,163,121,344,1,192169
Participant13 to 8112,137,121,344,1,192700
Participant13 to 8101,178,122,344,1,193239
Participant14 to 8108,174,122,344,1,193778
Participant14 to 8110,123,122,344,1,194317
Participant14 to 8102,185,122,344,1,194861
Participant14 to 8103,160,122,344,1,195401
Participant14 to 8105,185,122,344,1,195936
Participant14 to 8106,149,122,344,1,196475
Participant14 to 8107,164,122,344,1,197013
Participant15 to 8111,144,122,344,1,197545
Participant15 to 8105,167,122,344,1,198085
Participant15 to 8107,183,121,344,1,198617
Participant15 to 8103,154,122,344,1,199152
Participant15 to 8108,154,122,344,1,199697
Participant15 to 8112,123,122,344,1,200230
Participant15 to 8114,137,121,344,1,200774
