Participant,Time to Receive,Size of Message,Data size on server
Participant2,3,1,932
Participant3,3,1,1475
Participant4,4,1,2018
Participant5,3,1,2554
Participant6,3,1,3094
Participant7,4,1,3634
Participant8,4,1,4168
Participant3,21,2,5056
Participant4,19,2,5946
Participant5,20,2,6837
Participant6,18,2,7732
Participant7,17,2,8620
Participant8,19,2,9510
Participant4,17,5,11452
Participant5,17,5,13392
Participant6,33,5,15323
Participant7,27,5,17267
Participant8,34,5,19213
Participant5,74,12,23600
Participant6,74,12,27997
Participant7,80,12,32396
Participant8,49,12,36790
Participant6,149,29,47130
Participant7,180,29,57458
Participant8,159,29,67798
Participant7,382,70,92134
Participant8,391,70,116474
Participant8,1132,168,174419
Participant8,69,1,174957
,63,1,175492
Participant7,33,1,176030
Participant3,62,1,176561
Participant4,75,1,177096
Participant2,61,1,177642
Participant5,87,1,178188
Participant7,65,1,178723
Participant4,57,1,179258
Participant2,87,1,179794
Participant3,74,1,180327
Participant9,32,1,180860
Participant8,71,1,181398
Participant6,85,1,181933
Participant10,43,1,182468
Participant8,85,1,183008
,64,1,183555
Participant7,64,1,184092
Participant5,76,1,184629
Participant2,88,1,185174
Participant3,82,1,185715
Participant6,66,1,186248
Participant8,71,1,186786
Participant3,43,1,187327
,56,1,187866
Participant2,65,1,188404
Participant10,46,1,188950
Participant4,53,1,189484
Participant3,91,1,190019
Participant11,32,1,190553
Participant5,72,1,191092
Participant7,68,1,191628
Participant2,80,1,192169
Participant12,34,1,192700
,92,1,193239
Participant8,81,1,193778
Participant10,36,1,194317
Participant2,84,1,194861
Participant3,75,1,195401
Participant5,92,1,195936
Participant6,63,1,196475
Participant7,79,1,197013
Participant11,33,1,197545
Participant5,87,1,198085
Participant7,106,1,198617
Participant3,52,1,199152
Participant8,56,1,199697
Participant12,32,1,200230
Participant14,17,1,200774
