Participant,Time to Receive,Size of Message,Data size on server
participant2,635,20,
participant3,700,20,
participant3,509,20,
participant1,502,20,
participant2,574,20,
participant2,515,20,
participant1,463,20,
participant4,452,20,
participant5,574,20,
participant4,563,20,
participant1,465,20,
participant5,520,20,
participant2,525,20,
participant1,490,20,
participant6,537,20,
participant5,505,20,
participant1,519,20,
participant1,549,20,
participant7,579,20,
participant5,531,20,
participant10,671,20,
participant8,551,20,
participant2,567,20,
participant1,469,20,
participant7,550,20,
participant7,504,20,
participant4,469,20,
participant1,559,20,
participant11,631,20,
participant9,518,20,
participant16,522,20,
participant14,447,20,
participant2,521,20,
participant4,526,20,
participant5,550,20,
participant1,501,20,
participant14,467,20,
