Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,43,109,344,1,935
 to 8103,42,109,344,1,1478
 to 8104,36,108,344,1,2025
 to 8105,42,108,344,1,2562
 to 8106,45,109,344,1,3099
Participant2 to 8103,40,464,694,2,3979
Participant2 to 8104,36,466,694,2,4867
Participant2 to 8105,48,466,694,2,5755
Participant2 to 8106,31,465,694,2,6645
Participant3 to 8104,63,1177,1744,5,8587
Participant3 to 8105,50,1177,1744,5,10526
Participant3 to 8106,44,1177,1744,5,12457
Participant4 to 8105,101,2960,4194,12,16847
Participant4 to 8106,89,2960,4194,12,21237
Participant5 to 8106,160,7188,10144,29,31569
Participant7 to 8102,39,121,344,1,32108
Participant7 to 8106,50,121,344,1,32651
Participant7 to 8104,37,121,344,1,33187
Participant7 to 8105,48,120,344,1,33732
Participant7 to 8103,48,121,344,1,34274
Participant8 to 8104,58,121,344,1,34813
Participant8 to 8103,47,121,344,1,35351
Participant8 to 8102,47,120,344,1,35890
Participant8 to 8107,43,120,344,1,36421
Participant8 to 8105,40,121,344,1,36952
Participant9 to 8106,58,121,344,1,37497
Participant9 to 8103,59,120,344,1,38039
Participant9 to 8104,64,121,344,1,38580
Participant9 to 8105,66,121,344,1,39119
Participant9 to 8102,69,121,344,1,39661
Participant10 to 8109,61,122,344,1,40212
Participant10 to 8106,53,122,344,1,40750
Participant10 to 8102,52,122,344,1,41287
Participant10 to 8105,45,122,344,1,41827
Participant10 to 8103,43,122,344,1,42368
Participant11 to 8108,41,122,344,1,42903
Participant11 to 8105,44,122,344,1,43444
Participant11 to 8110,47,122,344,1,43979
Participant11 to 8103,41,122,344,1,44516
Participant11 to 8104,55,121,344,1,45055
Participant12 to 8105,50,122,344,1,45593
Participant12 to 8110,45,121,344,1,46127
Participant12 to 8101,42,121,344,1,46660
Participant12 to 8107,49,121,344,1,47193
Participant12 to 8111,55,121,344,1,47736
Participant13 to 8112,69,122,344,1,48274
Participant13 to 8103,68,122,344,1,48815
Participant13 to 8107,45,122,344,1,49353
Participant13 to 8108,43,122,344,1,49901
Participant13 to 8106,40,121,344,1,50438
Participant14 to 8110,58,122,344,1,50983
Participant14 to 8106,63,122,344,1,51520
Participant14 to 8105,69,122,344,1,52059
Participant14 to 8102,66,122,344,1,52603
Participant14 to 8101,54,122,344,1,53150
Participant15 to 8112,72,122,344,1,53686
Participant15 to 8111,81,122,344,1,54226
Participant15 to 8103,58,121,344,1,54773
Participant15 to 8109,83,122,344,1,55309
Participant15 to 8108,74,121,344,1,55850
