Participant,Time to Receive,Size of Message,Data size on server
Participant2,9,1,935
Participant3,4,1,1478
Participant4,4,1,2025
Participant5,4,1,2562
Participant6,10,1,3099
Participant3,14,2,3979
Participant4,17,2,4867
Participant5,2,2,5755
Participant6,12,2,6645
Participant4,29,5,8587
Participant5,25,5,10526
Participant6,21,5,12457
Participant5,64,12,16847
Participant6,52,12,21237
Participant6,106,29,31569
Participant2,2,1,32108
Participant6,9,1,32651
Participant4,1,1,33187
Participant5,10,1,33732
Participant3,9,1,34274
Participant4,9,1,34813
Participant3,8,1,35351
Participant2,10,1,35890
Participant7,16,1,36421
Participant5,15,1,36952
Participant6,16,1,37497
Participant3,7,1,38039
Participant4,4,1,38580
Participant5,10,1,39119
Participant2,14,1,39661
Participant9,6,1,40212
Participant6,3,1,40750
Participant2,5,1,41287
Participant5,1,1,41827
Participant3,1,1,42368
Participant8,2,1,42903
Participant5,3,1,43444
Participant10,17,1,43979
Participant3,11,1,44516
Participant4,13,1,45055
Participant5,17,1,45593
Participant10,4,1,46127
,2,1,46660
Participant7,2,1,47193
Participant11,3,1,47736
Participant12,21,1,48274
Participant3,16,1,48815
Participant7,16,1,49353
Participant8,3,1,49901
Participant6,1,1,50438
Participant10,2,1,50983
Participant6,2,1,51520
Participant5,8,1,52059
Participant2,11,1,52603
,2,1,53150
Participant12,11,1,53686
Participant11,17,1,54226
Participant3,1,1,54773
Participant9,2,1,55309
Participant8,11,1,55850
