Participant,Time to Receive,Size of Message,Data size on server
participant2,1459,20,
participant3,1391,20,
participant4,1370,20,
participant5,1149,20,
participant6,1264,20,
participant7,1180,20,
participant8,1034,20,
participant9,1291,20,
participant10,1240,20,
participant11,1137,20,
participant3,505,20,
participant4,575,20,
participant5,565,20,
participant6,540,20,
participant7,675,20,
participant8,601,20,
participant9,520,20,
participant10,528,20,
participant11,453,20,
participant4,488,20,
participant5,527,20,
participant6,538,20,
participant7,544,20,
participant8,520,20,
participant9,516,20,
participant10,519,20,
participant11,582,20,
participant5,537,20,
participant6,495,20,
participant7,506,20,
participant8,554,20,
participant9,479,20,
participant10,479,20,
participant11,472,20,
participant6,585,20,
participant7,574,20,
participant8,513,20,
participant9,510,20,
participant10,521,20,
participant11,538,20,
participant7,480,20,
participant8,540,20,
participant9,515,20,
participant10,453,20,
participant11,481,20,
participant8,486,20,
participant9,579,20,
participant10,515,20,
participant11,496,20,
participant9,506,20,
participant10,642,20,
participant11,456,20,
participant10,608,20,
participant11,476,20,
participant11,667,20,
participant4,541,20,
participant1,547,20,
participant9,559,20,
participant10,569,20,
participant6,498,20,
participant5,591,20,
participant3,512,20,
participant7,490,20,
participant2,530,20,
participant8,512,20,
participant5,549,20,
participant8,543,20,
participant1,511,20,
participant10,456,20,
participant11,490,20,
participant4,476,20,
participant7,579,20,
participant2,521,20,
participant12,534,20,
participant9,552,20,
participant2,496,20,
participant7,509,20,
participant5,497,20,
participant10,516,20,
participant1,528,20,
participant3,464,20,
participant6,631,20,
participant11,493,20,
participant4,517,20,
participant13,515,20,
participant1,585,20,
participant9,502,20,
participant12,538,20,
participant2,478,20,
participant5,541,20,
participant10,529,20,
participant7,463,20,
participant13,479,20,
participant8,540,20,
participant11,477,20,
participant8,501,20,
participant10,633,20,
participant7,468,20,
participant2,462,20,
participant15,584,20,
participant12,494,20,
participant11,461,20,
participant5,503,20,
participant3,678,20,
participant13,537,20,
participant12,474,20,
participant7,494,20,
participant9,526,20,
participant8,509,20,
participant5,478,20,
participant14,506,20,
participant2,538,20,
participant11,453,20,
participant3,492,20,
participant16,517,20,
participant10,522,20,
participant1,575,20,
participant11,516,20,
participant3,466,20,
participant8,504,20,
participant14,484,20,
participant7,649,20,
participant13,505,20,
participant4,501,20,
participant16,591,20,
participant4,485,20,
participant2,547,20,
participant13,485,20,
participant8,555,20,
participant9,531,20,
participant10,465,20,
participant18,545,20,
participant3,518,20,
participant7,515,20,
participant16,488,20,
participant8,525,20,
participant17,492,20,
participant18,542,20,
participant7,510,20,
participant9,555,20,
participant10,500,20,
participant11,541,20,
participant1,533,20,
participant12,532,20,
participant3,551,20,
