Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant1 to 8102,19074,5113,6994,20,
participant1 to 8103,17681,5113,6994,20,
participant1 to 8104,18497,5113,6994,20,
participant1 to 8105,16820,5113,6994,20,
participant1 to 8106,17168,5113,6994,20,
participant1 to 8107,16776,5113,6994,20,
participant1 to 8108,16651,5113,6994,20,
participant1 to 8109,16821,5113,6994,20,
participant1 to 8110,17005,5113,6994,20,
participant1 to 8111,16598,5113,6994,20,
participant2 to 8103,16947,5113,6994,20,
participant2 to 8104,15885,5113,6994,20,
participant2 to 8105,15930,5113,6994,20,
participant2 to 8106,15982,5113,6994,20,
participant2 to 8107,15956,5113,6994,20,
participant2 to 8108,16677,5113,6994,20,
participant2 to 8109,15852,5113,6994,20,
participant2 to 8110,16219,5113,6994,20,
participant2 to 8111,15772,5113,6994,20,
participant3 to 8104,15744,5113,6994,20,
participant3 to 8105,15878,5113,6994,20,
participant3 to 8106,15974,5113,6994,20,
participant3 to 8107,16308,5113,6994,20,
participant3 to 8108,16778,5113,6994,20,
participant3 to 8109,16983,5113,6994,20,
participant3 to 8110,15933,5113,6994,20,
participant3 to 8111,15859,5113,6994,20,
participant4 to 8105,15814,5113,6994,20,
participant4 to 8106,16072,5113,6994,20,
participant4 to 8107,16620,5113,6994,20,
participant4 to 8108,15922,5113,6994,20,
participant4 to 8109,16828,5113,6994,20,
participant4 to 8110,15704,5113,6994,20,
participant4 to 8111,15775,5113,6994,20,
participant5 to 8106,15885,5113,6994,20,
participant5 to 8107,16721,5113,6994,20,
participant5 to 8108,16301,5113,6994,20,
participant5 to 8109,15765,5113,6994,20,
participant5 to 8110,15779,5113,6994,20,
participant5 to 8111,16753,5113,6994,20,
participant6 to 8107,17386,5113,6994,20,
participant6 to 8108,30886,5113,6994,20,
participant6 to 8109,30764,5113,6994,20,
participant6 to 8110,15712,5113,6994,20,
participant6 to 8111,1234,5113,6994,20,
participant7 to 8108,15740,5113,6994,20,
participant7 to 8109,16121,5113,6994,20,
participant7 to 8110,17190,5113,6994,20,
participant7 to 8111,16009,5113,6994,20,
participant8 to 8109,15848,5113,6994,20,
participant8 to 8110,15866,5113,6994,20,
participant8 to 8111,15967,5113,6994,20,
participant9 to 8110,16076,5113,6994,20,
participant9 to 8111,15759,5113,6994,20,
participant10 to 8111,15938,5114,6994,20,
participant12 to 8104,18695,5114,6994,20,
participant12 to 8101,15996,5114,6994,20,
participant12 to 8109,31140,5114,6994,20,
participant12 to 8110,16224,5114,6994,20,
participant12 to 8106,15855,5114,6994,20,
participant12 to 8105,17656,5114,6994,20,
participant12 to 8103,15970,5114,6994,20,
participant12 to 8107,15868,5114,6994,20,
participant12 to 8102,15795,5114,6994,20,
participant12 to 8108,15973,5114,6994,20,
participant13 to 8105,16359,5114,6994,20,
