Participant,Time to Receive,Size of Message,Data size on server
participant2,732,20,
participant3,666,20,
participant4,636,20,
participant5,660,20,
participant6,618,20,
participant7,532,20,
participant8,489,20,
participant3,627,20,
participant4,457,20,
participant5,563,20,
participant6,479,20,
participant7,606,20,
participant8,561,20,
participant4,467,20,
participant5,530,20,
participant6,499,20,
participant7,594,20,
participant8,508,20,
participant5,535,20,
participant6,495,20,
participant7,542,20,
participant8,685,20,
participant6,473,20,
participant7,546,20,
participant8,579,20,
participant7,513,20,
participant8,538,20,
participant8,508,20,
participant4,575,20,
participant5,526,20,
participant1,513,20,
participant2,514,20,
participant6,555,20,
participant3,501,20,
participant7,481,20,
participant3,553,20,
participant7,524,20,
participant9,547,20,
participant8,514,20,
participant4,481,20,
participant5,614,20,
participant2,656,20,
participant1,491,20,
participant10,511,20,
participant2,593,20,
participant7,535,20,
participant9,572,20,
participant3,487,20,
participant4,553,20,
participant10,552,20,
participant11,524,20,
participant3,495,20,
participant5,566,20,
participant8,610,20,
participant4,502,20,
participant7,500,20,
participant10,541,20,
participant3,613,20,
participant11,541,20,
participant8,617,20,
participant12,575,20,
participant6,509,20,
participant9,527,20,
participant10,534,20,
participant5,566,20,
participant1,570,20,
participant4,490,20,
participant2,537,20,
participant12,557,20,
participant11,640,20,
participant7,487,20,
participant12,558,20,
participant10,493,20,
participant2,538,20,
participant8,600,20,
participant4,512,20,
participant5,573,20,
participant12,587,20,
participant9,494,20,
participant14,544,20,
participant8,607,20,
participant3,461,20,
participant11,570,20,
participant7,472,20,
participant4,464,20,
participant13,517,20,
participant12,537,20,
participant1,522,20,
participant7,509,20,
participant2,477,20,
participant9,573,20,
participant2,544,20,
participant1,532,20,
participant10,518,20,
participant8,549,20,
participant4,511,20,
participant6,549,20,
participant14,693,20,
participant9,470,20,
participant5,540,20,
participant16,549,20,
participant14,495,20,
participant6,549,20,
participant15,536,20,
participant10,531,20,
participant13,574,20,
participant2,551,20,
participant10,549,20,
participant1,542,20,
participant14,477,20,
participant5,542,20,
participant12,472,20,
