Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,29,109,344,1,932
 to 8103,35,109,344,1,1470
 to 8104,165,109,344,1,2005
Participant2 to 8103,51,466,694,2,2898
Participant2 to 8104,54,467,694,2,3783
Participant3 to 8104,52,1169,1744,5,5723
Participant5 to 8102,41,121,344,1,6258
Participant5 to 8104,54,121,344,1,6802
Participant5 to 8101,39,121,344,1,7338
Participant6 to 8101,51,121,344,1,7879
Participant6 to 8104,49,120,344,1,8426
Participant6 to 8103,58,121,344,1,8964
Participant7 to 8104,74,121,344,1,9503
Participant7 to 8103,55,121,344,1,10047
Participant7 to 8102,42,121,344,1,10586
Participant8 to 8103,56,121,344,1,11121
Participant8 to 8104,53,121,344,1,11660
Participant8 to 8101,47,121,344,1,12200
Participant9 to 8102,48,121,344,1,12736
Participant9 to 8104,36,121,344,1,13277
Participant9 to 8106,47,121,344,1,13817
Participant10 to 8101,38,122,344,1,14350
Participant10 to 8104,37,122,344,1,14895
Participant10 to 8105,35,121,344,1,15440
Participant11 to 8101,36,122,344,1,15979
Participant11 to 8102,38,122,344,1,16514
Participant11 to 8110,36,121,344,1,17050
Participant12 to 8102,44,122,344,1,17586
Participant12 to 8106,49,121,344,1,18127
Participant12 to 8110,44,122,344,1,18667
Participant13 to 8103,51,122,344,1,19200
Participant13 to 8107,56,122,344,1,19741
Participant13 to 8108,69,122,344,1,20283
Participant14 to 8110,67,122,344,1,20815
Participant14 to 8113,75,121,344,1,21351
Participant14 to 8101,64,121,344,1,21886
Participant15 to 8101,69,122,344,1,22418
Participant15 to 8112,50,121,344,1,22957
Participant15 to 8102,49,122,344,1,23492
