Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,64,109,344,1,934
 to 8103,62,108,344,1,1473
 to 8104,82,109,344,1,2005
 to 8105,41,109,344,1,2539
 to 8106,71,109,344,1,3077
 to 8107,63,109,344,1,3616
 to 8108,64,109,344,1,4151
Participant2 to 8103,60,465,694,2,5040
Participant2 to 8104,66,465,694,2,5931
Participant2 to 8105,56,466,694,2,6817
Participant2 to 8106,69,466,694,2,7699
Participant2 to 8107,73,466,694,2,8580
Participant2 to 8108,60,466,694,2,9473
Participant3 to 8104,108,1176,1744,5,11411
Participant3 to 8105,117,1176,1744,5,13343
Participant3 to 8106,85,1176,1744,5,15275
Participant3 to 8107,116,1175,1744,5,17214
Participant3 to 8108,121,1176,1744,5,19151
Participant4 to 8105,173,2946,4194,12,23547
Participant4 to 8106,151,2945,4194,12,27950
Participant4 to 8107,152,2944,4194,12,32337
Participant4 to 8108,183,2946,4194,12,36725
Participant5 to 8106,316,7207,10144,29,47065
Participant5 to 8107,300,7207,10144,29,57400
Participant5 to 8108,423,7207,10144,29,67737
Participant6 to 8107,544,17492,24144,70,92076
Participant6 to 8108,542,17492,24144,70,116415
Participant7 to 8108,1230,41999,57744,168,174354
Participant9 to 8106,181,120,344,1,174888
Participant9 to 8104,269,121,344,1,175422
Participant9 to 8102,229,121,344,1,175962
Participant9 to 8103,263,120,344,1,176501
Participant9 to 8108,182,120,344,1,177044
Participant9 to 8101,269,121,344,1,177580
Participant9 to 8107,200,121,344,1,178119
Participant10 to 8102,246,122,344,1,178663
Participant10 to 8108,136,122,344,1,179199
Participant10 to 8103,240,121,344,1,179740
Participant10 to 8107,240,122,344,1,180282
Participant10 to 8106,268,122,344,1,180824
Participant10 to 8105,344,122,344,1,181361
Participant10 to 8109,230,122,344,1,181891
Participant11 to 8101,288,122,344,1,182437
Participant11 to 8108,237,121,344,1,182977
Participant11 to 8106,240,122,344,1,183517
Participant11 to 8104,316,122,344,1,184055
Participant11 to 8110,168,120,344,1,184596
Participant11 to 8102,253,122,344,1,185133
Participant11 to 8105,265,122,344,1,185666
Participant12 to 8105,232,122,344,1,186208
Participant12 to 8108,122,122,344,1,186746
Participant12 to 8107,115,122,344,1,187286
Participant12 to 8110,112,122,344,1,187825
Participant12 to 8106,117,122,344,1,188364
Participant12 to 8103,165,121,344,1,188901
Participant12 to 8104,184,122,344,1,189434
Participant13 to 8107,121,122,344,1,189968
Participant13 to 8109,116,122,344,1,190513
Participant13 to 8112,105,122,344,1,191051
Participant13 to 8103,223,122,344,1,191592
Participant13 to 8111,100,122,344,1,192135
Participant13 to 8108,104,122,344,1,192676
Participant13 to 8105,190,122,344,1,193219
Participant14 to 8101,195,122,344,1,193760
Participant14 to 8104,185,121,344,1,194300
Participant14 to 8110,119,122,344,1,194834
Participant14 to 8113,103,122,344,1,195372
Participant14 to 8106,148,122,344,1,195911
Participant14 to 8111,136,121,344,1,196445
Participant14 to 8102,152,122,344,1,196988
Participant15 to 8107,131,122,344,1,197526
Participant15 to 8111,128,122,344,1,198058
Participant15 to 8109,126,122,344,1,198595
Participant15 to 8110,125,122,344,1,199139
Participant15 to 8104,209,122,344,1,199677
Participant15 to 8105,184,122,344,1,200214
Participant15 to 8108,130,122,344,1,200754
