Participant,Time to Receive,Size of Message,Data size on server
Participant2,6,1,934
Participant3,4,1,1473
Participant4,3,1,2005
Participant5,3,1,2539
Participant6,4,1,3077
Participant7,4,1,3616
Participant8,4,1,4151
Participant3,5,2,5040
Participant4,13,2,5931
Participant5,8,2,6817
Participant6,7,2,7699
Participant7,4,2,8580
Participant8,3,2,9473
Participant4,32,5,11411
Participant5,19,5,13343
Participant6,32,5,15275
Participant7,16,5,17214
Participant8,22,5,19151
Participant5,85,12,23547
Participant6,66,12,27950
Participant7,64,12,32337
Participant8,65,12,36725
Participant6,132,29,47065
Participant7,122,29,57400
Participant8,161,29,67737
Participant7,335,70,92076
Participant8,348,70,116415
Participant8,879,168,174354
Participant6,45,1,174888
Participant4,110,1,175422
Participant2,65,1,175962
Participant3,110,1,176501
Participant8,25,1,177044
,111,1,177580
Participant7,40,1,178119
Participant2,67,1,178663
Participant8,42,1,179199
Participant3,114,1,179740
Participant7,55,1,180282
Participant6,69,1,180824
Participant5,132,1,181361
Participant9,33,1,181891
,64,1,182437
Participant8,40,1,182977
Participant6,29,1,183517
Participant4,99,1,184055
Participant10,36,1,184596
Participant2,47,1,185133
Participant5,108,1,185666
Participant5,131,1,186208
Participant8,33,1,186746
Participant7,35,1,187286
Participant10,33,1,187825
Participant6,32,1,188364
Participant3,92,1,188901
Participant4,112,1,189434
Participant7,49,1,189968
Participant9,37,1,190513
Participant12,19,1,191051
Participant3,131,1,191592
Participant11,17,1,192135
Participant8,26,1,192676
Participant5,103,1,193219
,110,1,193760
Participant4,102,1,194300
Participant10,17,1,194834
Participant13,16,1,195372
Participant6,48,1,195911
Participant11,32,1,196445
Participant2,61,1,196988
Participant7,37,1,197526
Participant11,44,1,198058
Participant9,31,1,198595
Participant10,32,1,199139
Participant4,114,1,199677
Participant5,95,1,200214
Participant8,48,1,200754
