Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,30,108,344,1,932
 to 8103,37,109,344,1,1470
 to 8104,33,109,344,1,2008
Participant2 to 8103,46,464,694,2,2888
Participant2 to 8104,37,465,694,2,3771
Participant3 to 8104,67,1175,1744,5,5715
Participant5 to 8104,44,121,344,1,6253
Participant5 to 8101,36,121,344,1,6798
Participant5 to 8103,44,121,344,1,7335
Participant6 to 8101,49,120,344,1,7877
Participant6 to 8104,49,121,344,1,8411
Participant6 to 8102,45,121,344,1,8958
Participant7 to 8101,52,121,344,1,9502
Participant7 to 8106,49,121,344,1,10044
Participant7 to 8104,47,121,344,1,10582
Participant8 to 8103,53,121,344,1,11124
Participant8 to 8104,42,121,344,1,11660
Participant8 to 8101,43,121,344,1,12203
Participant9 to 8107,38,121,344,1,12744
Participant9 to 8105,48,121,344,1,13291
Participant9 to 8101,36,120,344,1,13831
Participant10 to 8109,62,122,344,1,14367
Participant10 to 8105,52,122,344,1,14903
Participant10 to 8104,59,122,344,1,15440
Participant11 to 8106,47,122,344,1,15988
Participant11 to 8104,39,122,344,1,16521
Participant11 to 8107,43,122,344,1,17068
Participant12 to 8106,40,122,344,1,17609
Participant12 to 8103,39,122,344,1,18152
Participant12 to 8104,37,122,344,1,18696
Participant13 to 8102,47,121,344,1,19237
Participant13 to 8101,48,122,344,1,19778
Participant13 to 8110,40,122,344,1,20314
Participant14 to 8104,38,122,344,1,20849
Participant14 to 8105,41,122,344,1,21380
Participant14 to 8107,36,121,344,1,21921
Participant15 to 8101,127,122,344,1,22456
Participant15 to 8104,43,122,344,1,22992
Participant15 to 8109,37,122,344,1,23525
