Participant,Time to Receive,Size of Message,Data size on server
Participant2,12,1,933
Participant3,6,1,1468
Participant4,17,1,2001
Participant5,4,1,2539
Participant6,4,1,3073
Participant7,4,1,3607
Participant8,4,1,4145
Participant9,4,1,4679
Participant10,9,1,5221
Participant11,15,1,5758
Participant3,8,2,6649
Participant4,23,2,7536
Participant5,9,2,8427
Participant6,18,2,9314
Participant7,26,2,10199
Participant8,4,2,11092
Participant9,21,2,11984
Participant10,8,2,12872
Participant11,16,2,13760
Participant4,20,5,15701
Participant5,17,5,17632
Participant6,26,5,19569
Participant7,23,5,21508
Participant8,23,5,23442
Participant9,23,5,25383
Participant10,19,5,27325
Participant11,18,5,29259
Participant5,76,12,33649
Participant6,72,12,38033
Participant7,58,12,42421
Participant8,67,12,46806
Participant9,62,12,51194
Participant10,57,12,55580
Participant11,63,12,59963
Participant6,131,29,70304
Participant7,127,29,80643
Participant8,112,29,90982
Participant9,121,29,101326
Participant10,115,29,111658
Participant11,146,29,121999
Participant7,295,70,146330
Participant8,354,70,170670
Participant9,322,70,195009
Participant10,287,70,219349
Participant11,334,70,243684
Participant8,687,168,301621
Participant9,649,168,359558
Participant10,693,168,417496
Participant11,665,168,475438
Participant9,1577,401,613170
Participant10,1938,401,750899
Participant11,1645,401,888641
Participant10,5652,958,1217483
Participant11,5391,958,1546317
Participant11,9814,2287,2331203
Participant11,153,1,2331743
Participant9,180,1,2332282
,434,1,2332821
Participant2,386,1,2333360
Participant6,175,1,2333904
Participant7,161,1,2334444
Participant10,172,1,2334980
Participant3,359,1,2335521
Participant5,444,1,2336063
Participant8,183,1,2336601
Participant11,160,1,2337138
Participant6,190,1,2337677
Participant3,325,1,2338210
Participant5,273,1,2338751
Participant2,425,1,2339285
Participant7,187,1,2339822
Participant9,175,1,2340362
Participant10,166,1,2340898
,472,1,2341439
Participant12,162,1,2341972
Participant11,164,1,2342507
Participant7,200,1,2343049
Participant10,176,1,2343591
Participant6,191,1,2344130
Participant2,211,1,2344664
Participant12,186,1,2345206
Participant3,187,1,2345743
Participant5,172,1,2346286
Participant8,159,1,2346829
Participant9,147,1,2347366
Participant5,186,1,2347902
,222,1,2348445
Participant6,195,1,2348986
Participant3,190,1,2349528
Participant2,240,1,2350062
Participant14,209,1,2350605
Participant10,162,1,2351140
Participant7,191,1,2351683
Participant9,178,1,2352215
Participant4,432,1,2352755
