Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,55,109,344,1,933
 to 8103,53,109,344,1,1468
 to 8104,59,109,344,1,2001
 to 8105,48,109,344,1,2539
 to 8106,47,108,344,1,3073
 to 8107,42,109,344,1,3607
 to 8108,50,109,344,1,4145
 to 8109,47,109,344,1,4679
 to 8110,64,109,344,1,5221
 to 8111,69,109,344,1,5758
Participant2 to 8103,100,464,694,2,6649
Participant2 to 8104,78,463,694,2,7536
Participant2 to 8105,51,464,694,2,8427
Participant2 to 8106,69,463,694,2,9314
Participant2 to 8107,69,464,694,2,10199
Participant2 to 8108,48,464,694,2,11092
Participant2 to 8109,74,464,694,2,11984
Participant2 to 8110,55,464,694,2,12872
Participant2 to 8111,73,464,694,2,13760
Participant3 to 8104,104,1168,1744,5,15701
Participant3 to 8105,69,1169,1744,5,17632
Participant3 to 8106,84,1169,1744,5,19569
Participant3 to 8107,77,1169,1744,5,21508
Participant3 to 8108,85,1168,1744,5,23442
Participant3 to 8109,77,1168,1744,5,25383
Participant3 to 8110,75,1169,1744,5,27325
Participant3 to 8111,96,1169,1744,5,29259
Participant4 to 8105,173,2955,4194,12,33649
Participant4 to 8106,151,2955,4194,12,38033
Participant4 to 8107,133,2954,4194,12,42421
Participant4 to 8108,148,2954,4194,12,46806
Participant4 to 8109,152,2955,4194,12,51194
Participant4 to 8110,167,2955,4194,12,55580
Participant4 to 8111,167,2955,4194,12,59963
Participant5 to 8106,270,7217,10144,29,70304
Participant5 to 8107,251,7217,10144,29,80643
Participant5 to 8108,216,7217,10144,29,90982
Participant5 to 8109,200,7216,10144,29,101326
Participant5 to 8110,198,7217,10144,29,111658
Participant5 to 8111,228,7217,10144,29,121999
Participant6 to 8107,502,17502,24144,70,146330
Participant6 to 8108,447,17502,24144,70,170670
Participant6 to 8109,415,17501,24144,70,195009
Participant6 to 8110,401,17501,24144,70,219349
Participant6 to 8111,438,17502,24144,70,243684
Participant7 to 8108,860,42049,57744,168,301621
Participant7 to 8109,799,42049,57744,168,359558
Participant7 to 8110,872,42049,57744,168,417496
Participant7 to 8111,832,42050,57744,168,475438
Participant8 to 8109,2309,100580,137544,401,613170
Participant8 to 8110,2301,100580,137544,401,750899
Participant8 to 8111,2021,100580,137544,401,888641
Participant9 to 8110,7851,240309,328644,958,1217483
Participant9 to 8111,6403,240311,328644,958,1546317
Participant10 to 8111,12820,573840,784694,2287,2331203
Participant12 to 8111,613,122,344,1,2331743
Participant12 to 8109,601,122,344,1,2332282
Participant12 to 8101,896,122,344,1,2332821
Participant12 to 8102,864,122,344,1,2333360
Participant12 to 8106,626,122,344,1,2333904
Participant12 to 8107,699,122,344,1,2334444
Participant12 to 8110,640,122,344,1,2334980
Participant12 to 8103,817,122,344,1,2335521
Participant12 to 8105,922,122,344,1,2336063
Participant12 to 8108,669,120,344,1,2336601
Participant13 to 8111,686,122,344,1,2337138
Participant13 to 8106,701,122,344,1,2337677
Participant13 to 8103,893,122,344,1,2338210
Participant13 to 8105,785,122,344,1,2338751
Participant13 to 8102,922,122,344,1,2339285
Participant13 to 8107,718,121,344,1,2339822
Participant13 to 8109,665,122,344,1,2340362
Participant13 to 8110,676,122,344,1,2340898
Participant13 to 8101,1006,122,344,1,2341439
Participant13 to 8112,735,121,344,1,2341972
Participant14 to 8111,777,122,344,1,2342507
Participant14 to 8107,708,122,344,1,2343049
Participant14 to 8110,737,122,344,1,2343591
Participant14 to 8106,793,121,344,1,2344130
Participant14 to 8102,756,121,344,1,2344664
Participant14 to 8112,832,122,344,1,2345206
Participant14 to 8103,837,122,344,1,2345743
Participant14 to 8105,708,122,344,1,2346286
Participant14 to 8108,1369,122,344,1,2346829
Participant14 to 8109,736,122,344,1,2347366
Participant15 to 8105,827,121,344,1,2347902
Participant15 to 8101,926,122,344,1,2348445
Participant15 to 8106,769,122,344,1,2348986
Participant15 to 8103,766,122,344,1,2349528
Participant15 to 8102,814,122,344,1,2350062
Participant15 to 8114,820,122,344,1,2350605
Participant15 to 8110,799,122,344,1,2351140
Participant15 to 8107,819,122,344,1,2351683
Participant15 to 8109,799,121,344,1,2352215
Participant15 to 8104,1064,122,344,1,2352755
