Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant1 to 8102,32501,5113,6994,20,
participant1 to 8103,31024,5113,6994,20,
participant1 to 8104,15669,5113,6994,20,
participant1 to 8105,1570,5113,6994,20,
participant1 to 8106,30922,5113,6994,20,
participant1 to 8107,15961,5113,6994,20,
participant1 to 8108,16245,5113,6994,20,
participant1 to 8109,31296,5113,6994,20,
participant1 to 8110,18238,5113,6994,20,
participant1 to 8111,15735,5113,6994,20,
participant2 to 8103,17672,5113,6994,20,
participant2 to 8104,15954,5113,6994,20,
participant2 to 8105,16561,5113,6994,20,
participant2 to 8106,30887,5113,6994,20,
participant2 to 8107,34341,5113,6994,20,
participant2 to 8108,16008,5113,6994,20,
participant2 to 8109,16724,5113,6994,20,
participant2 to 8110,16301,5113,6994,20,
participant2 to 8111,15733,5113,6994,20,
participant3 to 8104,16491,5113,6994,20,
participant3 to 8105,15765,5113,6994,20,
participant3 to 8106,45891,5113,6994,20,
participant3 to 8107,16201,5113,6994,20,
participant3 to 8108,15923,5113,6994,20,
participant3 to 8109,30944,5113,6994,20,
participant3 to 8110,30956,5113,6994,20,
participant3 to 8111,46271,5113,6994,20,
participant4 to 8105,15846,5113,6994,20,
participant4 to 8106,15824,5113,6994,20,
participant4 to 8107,31000,5113,6994,20,
participant4 to 8108,15840,5113,6994,20,
participant4 to 8109,30723,5113,6994,20,
participant4 to 8110,16429,5113,6994,20,
participant4 to 8111,30719,5113,6994,20,
participant5 to 8106,15660,5113,6994,20,
participant5 to 8107,15882,5113,6994,20,
participant5 to 8108,16429,5113,6994,20,
participant5 to 8109,15942,5113,6994,20,
participant5 to 8110,16119,5113,6994,20,
participant5 to 8111,15700,5113,6994,20,
participant6 to 8107,15794,5113,6994,20,
participant6 to 8108,16049,5113,6994,20,
participant6 to 8109,16840,5113,6994,20,
participant6 to 8110,16550,5113,6994,20,
participant6 to 8111,15852,5113,6994,20,
participant7 to 8108,75820,5113,6994,20,
participant7 to 8109,15839,5113,6994,20,
participant7 to 8110,16149,5113,6994,20,
participant7 to 8111,15922,5113,6994,20,
participant8 to 8109,16481,5113,6994,20,
participant8 to 8110,16139,5113,6994,20,
participant8 to 8111,47132,5113,6994,20,
