Participant,Time to Receive,Size of Message,Data size on server
Participant2,4,1,938
Participant3,7,1,1472
Participant4,5,1,2014
Participant5,3,1,2549
Participant6,3,1,3093
Participant7,5,1,3635
Participant8,4,1,4175
Participant3,11,2,5063
Participant4,19,2,5951
Participant5,31,2,6841
Participant6,6,2,7734
Participant7,31,2,8618
Participant8,32,2,9504
Participant4,21,5,11444
Participant5,33,5,13378
Participant6,18,5,15315
Participant7,28,5,17246
Participant8,33,5,19183
Participant5,65,12,23565
Participant6,84,12,27953
Participant7,90,12,32343
Participant8,89,12,36735
Participant6,185,29,47079
Participant7,133,29,57419
Participant8,174,29,67754
Participant7,406,70,92087
Participant8,433,70,116419
Participant8,1118,168,174357
Participant2,102,1,174898
Participant4,67,1,175440
Participant3,72,1,175976
,90,1,176506
Participant5,117,1,177047
Participant6,65,1,177588
Participant7,53,1,178121
Participant5,107,1,178661
Participant7,77,1,179199
Participant8,58,1,179734
Participant3,93,1,180268
Participant4,98,1,180808
,96,1,181341
Participant2,129,1,181879
Participant3,113,1,182417
Participant10,17,1,182956
Participant2,50,1,183501
Participant8,76,1,184040
Participant5,91,1,184573
,94,1,185116
Participant4,70,1,185665
Participant7,105,1,186210
Participant6,111,1,186745
Participant8,78,1,187281
Participant2,35,1,187815
,103,1,188360
Participant10,25,1,188896
Participant3,108,1,189431
Participant7,89,1,189968
Participant10,38,1,190508
Participant2,99,1,191041
Participant9,29,1,191575
Participant11,17,1,192119
Participant5,107,1,192660
Participant4,90,1,193199
Participant5,83,1,193730
Participant9,22,1,194277
Participant7,118,1,194814
Participant2,65,1,195358
Participant3,131,1,195892
Participant12,17,1,196427
Participant10,16,1,196968
Participant2,83,1,197512
Participant5,114,1,198054
Participant10,29,1,198587
Participant3,114,1,199123
,72,1,199664
Participant4,100,1,200197
Participant6,89,1,200743
