Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,62,109,344,1,938
 to 8103,69,109,344,1,1472
 to 8104,69,109,344,1,2014
 to 8105,51,109,344,1,2549
 to 8106,62,109,344,1,3093
 to 8107,60,109,344,1,3635
 to 8108,64,109,344,1,4175
Participant2 to 8103,111,471,694,2,5063
Participant2 to 8104,91,471,694,2,5951
Participant2 to 8105,89,470,694,2,6841
Participant2 to 8106,97,471,694,2,7734
Participant2 to 8107,115,471,694,2,8618
Participant2 to 8108,102,470,694,2,9504
Participant3 to 8104,124,1176,1744,5,11444
Participant3 to 8105,104,1177,1744,5,13378
Participant3 to 8106,80,1176,1744,5,15315
Participant3 to 8107,122,1176,1744,5,17246
Participant3 to 8108,116,1177,1744,5,19183
Participant4 to 8105,184,2930,4194,12,23565
Participant4 to 8106,204,2932,4194,12,27953
Participant4 to 8107,167,2932,4194,12,32343
Participant4 to 8108,217,2931,4194,12,36735
Participant5 to 8106,356,7200,10144,29,47079
Participant5 to 8107,384,7200,10144,29,57419
Participant5 to 8108,366,7199,10144,29,67754
Participant6 to 8107,791,17488,24144,70,92087
Participant6 to 8108,716,17488,24144,70,116419
Participant7 to 8108,2126,42055,57744,168,174357
Participant9 to 8102,193,121,344,1,174898
Participant9 to 8104,147,121,344,1,175440
Participant9 to 8103,167,121,344,1,175976
Participant9 to 8101,183,121,344,1,176506
Participant9 to 8105,200,121,344,1,177047
Participant9 to 8106,140,121,344,1,177588
Participant9 to 8107,131,121,344,1,178121
Participant10 to 8105,196,122,344,1,178661
Participant10 to 8107,163,122,344,1,179199
Participant10 to 8108,128,122,344,1,179734
Participant10 to 8103,182,122,344,1,180268
Participant10 to 8104,180,122,344,1,180808
Participant10 to 8101,169,120,344,1,181341
Participant10 to 8102,283,122,344,1,181879
Participant11 to 8103,288,122,344,1,182417
Participant11 to 8110,105,121,344,1,182956
Participant11 to 8102,132,122,344,1,183501
Participant11 to 8108,153,122,344,1,184040
Participant11 to 8105,169,122,344,1,184573
Participant11 to 8101,182,122,344,1,185116
Participant11 to 8104,337,122,344,1,185665
Participant12 to 8107,201,122,344,1,186210
Participant12 to 8106,200,122,344,1,186745
Participant12 to 8108,153,122,344,1,187281
Participant12 to 8102,109,122,344,1,187815
Participant12 to 8101,189,122,344,1,188360
Participant12 to 8110,113,122,344,1,188896
Participant12 to 8103,205,121,344,1,189431
Participant13 to 8107,193,121,344,1,189968
Participant13 to 8110,105,122,344,1,190508
Participant13 to 8102,185,120,344,1,191041
Participant13 to 8109,102,122,344,1,191575
Participant13 to 8111,100,122,344,1,192119
Participant13 to 8105,191,122,344,1,192660
Participant13 to 8104,177,122,344,1,193199
Participant14 to 8105,186,122,344,1,193730
Participant14 to 8109,114,121,344,1,194277
Participant14 to 8107,206,122,344,1,194814
Participant14 to 8102,156,122,344,1,195358
Participant14 to 8103,215,122,344,1,195892
Participant14 to 8112,117,122,344,1,196427
Participant14 to 8110,118,122,344,1,196968
Participant15 to 8102,182,122,344,1,197512
Participant15 to 8105,207,122,344,1,198054
Participant15 to 8110,113,121,344,1,198587
Participant15 to 8103,205,122,344,1,199123
Participant15 to 8101,167,122,344,1,199664
Participant15 to 8104,205,121,344,1,200197
Participant15 to 8106,184,122,344,1,200743
