Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,35,109,344,1,936
 to 8103,42,109,344,1,1470
Participant2 to 8103,51,470,694,2,2360
Participant4 to 8102,45,121,344,1,2900
Participant4 to 8101,52,121,344,1,3435
Participant5 to 8104,51,121,344,1,3974
Participant5 to 8101,40,121,344,1,4511
Participant6 to 8103,51,121,344,1,5052
Participant6 to 8102,51,121,344,1,5586
Participant7 to 8102,47,121,344,1,6117
Participant7 to 8101,40,121,344,1,6653
Participant8 to 8102,43,119,344,1,7194
Participant8 to 8105,41,121,344,1,7732
Participant9 to 8102,41,121,344,1,8272
Participant9 to 8103,42,121,344,1,8810
Participant10 to 8101,44,122,344,1,9348
Participant10 to 8103,41,120,344,1,9889
Participant11 to 8102,48,122,344,1,10425
Participant11 to 8104,38,122,344,1,10959
Participant12 to 8101,44,122,344,1,11497
Participant12 to 8111,62,122,344,1,12037
Participant13 to 8101,75,122,344,1,12576
Participant13 to 8107,67,122,344,1,13107
Participant14 to 8103,78,122,344,1,13640
Participant14 to 8109,65,122,344,1,14180
Participant15 to 8108,66,122,344,1,14726
Participant15 to 8113,94,122,344,1,15258
