Participant,Time to Receive,Size of Message,Data size on server
Participant2,4,1,936
Participant3,3,1,1470
Participant3,15,2,2360
Participant2,20,1,2900
,6,1,3435
Participant4,4,1,3974
,3,1,4511
Participant3,3,1,5052
Participant2,2,1,5586
Participant2,17,1,6117
,16,1,6653
Participant2,2,1,7194
Participant5,2,1,7732
Participant2,2,1,8272
Participant3,3,1,8810
,2,1,9348
Participant3,2,1,9889
Participant2,2,1,10425
Participant4,2,1,10959
,15,1,11497
Participant11,7,1,12037
,5,1,12576
Participant7,2,1,13107
Participant3,12,1,13640
Participant9,14,1,14180
Participant8,10,1,14726
Participant13,39,1,15258
