Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,34,108,344,1,941
 to 8103,35,109,344,1,1482
 to 8104,37,109,344,1,2016
 to 8105,43,109,344,1,2549
 to 8106,32,109,344,1,3088
 to 8107,51,109,344,1,3620
 to 8108,35,109,344,1,4156
 to 8109,35,109,344,1,4689
 to 8110,37,109,344,1,5225
 to 8111,49,108,344,1,5767
Participant2 to 8103,43,463,694,2,6659
Participant2 to 8104,35,463,694,2,7552
Participant2 to 8105,42,462,694,2,8446
Participant2 to 8106,34,463,694,2,9336
Participant2 to 8107,32,463,694,2,10221
Participant2 to 8108,57,462,694,2,11105
Participant2 to 8109,44,463,694,2,11991
Participant2 to 8110,39,463,694,2,12884
Participant2 to 8111,44,463,694,2,13770
Participant3 to 8104,55,1165,1744,5,15701
Participant3 to 8105,76,1165,1744,5,17642
Participant3 to 8106,59,1164,1744,5,19585
Participant3 to 8107,59,1164,1744,5,21518
Participant3 to 8108,56,1164,1744,5,23462
Participant3 to 8109,62,1165,1744,5,25398
Participant3 to 8110,63,1164,1744,5,27336
Participant3 to 8111,73,1164,1744,5,29276
Participant4 to 8105,132,2951,4194,12,33664
Participant4 to 8106,138,2951,4194,12,38053
Participant4 to 8107,149,2951,4194,12,42443
Participant4 to 8108,195,2951,4194,12,46834
Participant4 to 8109,146,2951,4194,12,51222
Participant4 to 8110,184,2951,4194,12,55613
Participant4 to 8111,192,2951,4194,12,59995
Participant5 to 8106,189,7184,10144,29,70333
Participant5 to 8107,236,7184,10144,29,80670
Participant5 to 8108,171,7184,10144,29,91011
Participant5 to 8109,200,7184,10144,29,101353
Participant5 to 8110,207,7184,10144,29,111687
Participant5 to 8111,205,7184,10144,29,122021
Participant6 to 8107,381,17500,24144,70,146360
Participant6 to 8108,383,17500,24144,70,170696
Participant6 to 8109,361,17500,24144,70,195040
Participant6 to 8110,414,17499,24144,70,219382
Participant6 to 8111,417,17500,24144,70,243719
Participant7 to 8108,889,42018,57744,168,301649
Participant7 to 8109,886,42019,57744,168,359588
Participant7 to 8110,810,42019,57744,168,417523
Participant7 to 8111,855,42018,57744,168,475465
Participant8 to 8109,1837,100627,137894,402,613551
Participant8 to 8110,2035,100626,137894,402,751632
Participant8 to 8111,1907,100627,137894,402,889715
Participant9 to 8110,4756,240584,328994,959,1218897
Participant9 to 8111,4808,240583,328994,959,1548086
Participant10 to 8111,12446,574532,785744,2290,2334025
Participant12 to 8109,618,121,344,1,2334569
Participant12 to 8107,654,122,344,1,2335098
Participant12 to 8106,630,122,344,1,2335634
Participant12 to 8105,833,121,344,1,2336168
Participant12 to 8103,699,120,344,1,2336707
Participant12 to 8104,1370,121,344,1,2337245
Participant12 to 8111,665,122,344,1,2337779
Participant12 to 8108,732,122,344,1,2338318
Participant12 to 8102,751,122,344,1,2338857
Participant12 to 8101,839,122,344,1,2339395
Participant13 to 8102,727,121,344,1,2339928
Participant13 to 8109,754,122,344,1,2340467
Participant13 to 8107,731,122,344,1,2341003
Participant13 to 8108,656,122,344,1,2341536
Participant13 to 8103,919,122,344,1,2342080
Participant13 to 8101,896,122,344,1,2342609
Participant13 to 8106,816,122,344,1,2343152
Participant13 to 8105,859,121,344,1,2343695
Participant13 to 8112,879,122,344,1,2344232
Participant13 to 8110,737,122,344,1,2344764
Participant14 to 8113,770,120,344,1,2345306
Participant14 to 8109,870,121,344,1,2345843
Participant14 to 8102,1237,122,344,1,2346378
Participant14 to 8112,782,122,344,1,2346921
Participant14 to 8103,732,122,344,1,2347459
Participant14 to 8101,783,122,344,1,2347995
Participant14 to 8106,732,122,344,1,2348530
Participant14 to 8104,1801,122,344,1,2349069
Participant14 to 8107,830,121,344,1,2349605
Participant14 to 8110,795,122,344,1,2350146
Participant15 to 8112,2200,122,344,1,2350685
Participant15 to 8107,1559,122,344,1,2351221
Participant15 to 8106,917,122,344,1,2351766
Participant15 to 8102,914,122,344,1,2352302
Participant15 to 8104,1173,121,344,1,2352845
Participant15 to 8103,986,122,344,1,2353383
Participant15 to 8114,884,120,344,1,2353924
Participant15 to 8113,865,122,344,1,2354456
Participant15 to 8105,819,121,344,1,2354989
Participant15 to 8101,2257,120,344,1,2355529
