Participant,Time to Receive,Size of Message,Data size on server
Participant2,3,1,941
Participant3,4,1,1482
Participant4,4,1,2016
Participant5,3,1,2549
Participant6,4,1,3088
Participant7,4,1,3620
Participant8,4,1,4156
Participant9,4,1,4689
Participant10,4,1,5225
Participant11,4,1,5767
Participant3,12,2,6659
Participant4,14,2,7552
Participant5,9,2,8446
Participant6,13,2,9336
Participant7,15,2,10221
Participant8,24,2,11105
Participant9,19,2,11991
Participant10,19,2,12884
Participant11,19,2,13770
Participant4,17,5,15701
Participant5,34,5,17642
Participant6,16,5,19585
Participant7,17,5,21518
Participant8,18,5,23462
Participant9,25,5,25398
Participant10,25,5,27336
Participant11,34,5,29276
Participant5,57,12,33664
Participant6,51,12,38053
Participant7,50,12,42443
Participant8,78,12,46834
Participant9,50,12,51222
Participant10,76,12,55613
Participant11,71,12,59995
Participant6,129,29,70333
Participant7,165,29,80670
Participant8,110,29,91011
Participant9,134,29,101353
Participant10,135,29,111687
Participant11,131,29,122021
Participant7,279,70,146360
Participant8,286,70,170696
Participant9,277,70,195040
Participant10,317,70,219382
Participant11,309,70,243719
Participant8,734,168,301649
Participant9,686,168,359588
Participant10,646,168,417523
Participant11,683,168,475465
Participant9,1495,402,613551
Participant10,1696,402,751632
Participant11,1516,402,889715
Participant10,3896,959,1218897
Participant11,3969,959,1548086
Participant11,9752,2290,2334025
Participant9,185,1,2334569
Participant7,151,1,2335098
Participant6,182,1,2335634
Participant5,282,1,2336168
Participant3,190,1,2336707
Participant4,900,1,2337245
Participant11,189,1,2337779
Participant8,208,1,2338318
Participant2,203,1,2338857
,199,1,2339395
Participant2,191,1,2339928
Participant9,183,1,2340467
Participant7,207,1,2341003
Participant8,155,1,2341536
Participant3,325,1,2342080
,294,1,2342609
Participant6,195,1,2343152
Participant5,220,1,2343695
Participant12,218,1,2344232
Participant10,190,1,2344764
Participant13,174,1,2345306
Participant9,154,1,2345843
Participant2,407,1,2346378
Participant12,170,1,2346921
Participant3,155,1,2347459
,203,1,2347995
Participant6,183,1,2348530
Participant4,1153,1,2349069
Participant7,178,1,2349605
Participant10,175,1,2350146
Participant12,250,1,2350685
Participant7,249,1,2351221
Participant6,203,1,2351766
Participant2,216,1,2352302
Participant4,526,1,2352845
Participant3,355,1,2353383
Participant14,195,1,2353924
Participant13,180,1,2354456
Participant5,206,1,2354989
,1387,1,2355529
