Participant,Time to Receive,Size of Message,Data size on server
Participant2,4,1,925
Participant3,3,1,1461
Participant4,4,1,1994
Participant3,19,2,2884
Participant4,4,2,3772
Participant4,31,5,5704
Participant2,16,1,6234
Participant3,16,1,6774
,22,1,7313
Participant2,14,1,7850
Participant4,2,1,8400
,2,1,8937
Participant5,2,1,9472
Participant2,13,1,10004
Participant4,13,1,10536
,12,1,11072
Participant3,14,1,11612
Participant2,13,1,12157
,12,1,12697
Participant5,12,1,13230
Participant7,4,1,13766
Participant3,16,1,14303
Participant6,3,1,14836
Participant5,9,1,15370
Participant6,2,1,15910
Participant7,3,1,16453
Participant10,15,1,16987
Participant3,14,1,17531
Participant9,15,1,18062
Participant4,2,1,18602
Participant8,2,1,19146
Participant11,4,1,19685
Participant10,8,1,20227
Participant8,26,1,20763
Participant2,3,1,21299
,2,1,21835
Participant12,16,1,22377
Participant13,6,1,22915
Participant2,7,1,23451
