Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,38,109,344,1,925
 to 8103,37,109,344,1,1461
 to 8104,34,109,344,1,1994
Participant2 to 8103,49,464,694,2,2884
Participant2 to 8104,43,464,694,2,3772
Participant3 to 8104,180,1181,1744,5,5704
Participant5 to 8102,42,120,344,1,6234
Participant5 to 8103,39,121,344,1,6774
Participant5 to 8101,49,121,344,1,7313
Participant6 to 8102,39,120,344,1,7850
Participant6 to 8104,40,121,344,1,8400
Participant6 to 8101,38,121,344,1,8937
Participant7 to 8105,63,121,344,1,9472
Participant7 to 8102,69,121,344,1,10004
Participant7 to 8104,68,121,344,1,10536
Participant8 to 8101,69,121,344,1,11072
Participant8 to 8103,67,121,344,1,11612
Participant8 to 8102,66,121,344,1,12157
Participant9 to 8101,77,121,344,1,12697
Participant9 to 8105,66,121,344,1,13230
Participant9 to 8107,45,120,344,1,13766
Participant10 to 8103,48,122,344,1,14303
Participant10 to 8106,45,122,344,1,14836
Participant10 to 8105,55,122,344,1,15370
Participant11 to 8106,44,122,344,1,15910
Participant11 to 8107,51,122,344,1,16453
Participant11 to 8110,51,122,344,1,16987
Participant12 to 8103,39,122,344,1,17531
Participant12 to 8109,41,122,344,1,18062
Participant12 to 8104,36,122,344,1,18602
Participant13 to 8108,67,121,344,1,19146
Participant13 to 8111,67,121,344,1,19685
Participant13 to 8110,73,122,344,1,20227
Participant14 to 8108,60,121,344,1,20763
Participant14 to 8102,47,122,344,1,21299
Participant14 to 8101,48,122,344,1,21835
Participant15 to 8112,45,122,344,1,22377
Participant15 to 8113,57,122,344,1,22915
Participant15 to 8102,53,122,344,1,23451
