Participant,Time to Receive,Size of Message,Data size on server
participant2,611,20,
participant3,683,20,
participant3,573,20,
participant1,597,20,
participant3,588,20,
participant1,506,20,
participant3,553,20,
participant5,519,20,
participant1,484,20,
participant1,499,20,
participant5,520,20,
participant3,506,20,
participant7,518,20,
participant3,632,20,
participant1,602,20,
participant7,644,20,
participant5,472,20,
participant8,580,20,
participant1,621,20,
participant5,573,20,
participant9,444,20,
participant2,526,20,
participant1,548,20,
participant12,562,20,
participant11,546,20,
participant1,467,20,
participant4,574,20,
participant9,594,20,
participant1,501,20,
participant2,529,20,
participant13,503,20,
participant1,568,20,
participant9,618,20,
participant9,583,20,
participant11,539,20,
participant11,538,20,
participant3,598,20,
