Participant,Time to Receive,Size of Message,Data size on server
participant2,644,20,
participant3,473,20,
participant4,537,20,
participant5,532,20,
participant6,532,20,
participant7,532,20,
participant8,559,20,
participant3,552,20,
participant4,542,20,
participant5,580,20,
participant6,577,20,
participant7,523,20,
participant8,452,20,
participant4,539,20,
participant5,640,20,
participant6,527,20,
participant7,543,20,
participant8,545,20,
participant5,589,20,
participant6,472,20,
participant7,574,20,
participant8,546,20,
participant6,540,20,
participant7,617,20,
participant8,523,20,
participant7,600,20,
participant8,499,20,
participant8,604,20,
participant3,579,20,
participant5,529,20,
participant8,535,20,
participant1,460,20,
participant6,489,20,
participant2,483,20,
participant4,512,20,
participant3,523,20,
participant5,506,20,
participant9,549,20,
participant1,536,20,
participant8,550,20,
participant4,542,20,
participant7,484,20,
participant8,530,20,
participant6,556,20,
participant3,526,20,
participant7,561,20,
participant4,544,20,
participant2,579,20,
participant5,544,20,
participant1,487,20,
participant9,526,20,
participant8,559,20,
participant5,469,20,
participant4,596,20,
participant3,481,20,
participant10,525,20,
participant11,562,20,
participant7,508,20,
participant6,551,20,
participant4,520,20,
participant9,500,20,
participant3,491,20,
participant1,569,20,
participant13,547,20,
participant3,548,20,
participant10,551,20,
participant8,517,20,
participant11,590,20,
participant7,554,20,
participant1,523,20,
participant14,493,20,
participant3,589,20,
participant5,524,20,
participant11,439,20,
participant2,585,20,
participant10,566,20,
participant6,513,20,
participant4,548,20,
participant14,456,20,
participant6,489,20,
participant5,508,20,
participant2,525,20,
participant15,516,20,
participant10,524,20,
participant4,502,20,
participant9,508,20,
participant3,437,20,
participant6,514,20,
participant12,483,20,
participant5,590,20,
participant8,540,20,
participant14,556,20,
participant8,526,20,
participant2,580,20,
participant5,534,20,
participant10,506,20,
participant11,589,20,
participant15,528,20,
participant2,604,20,
participant4,557,20,
participant6,606,20,
participant8,506,20,
participant15,555,20,
participant13,543,20,
participant7,544,20,
participant10,515,20,
participant4,537,20,
participant5,623,20,
participant1,516,20,
participant7,564,20,
participant6,488,20,
participant13,519,20,
