Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,95,108,344,1,936
 to 8103,94,109,344,1,1471
 to 8104,57,109,344,1,2013
 to 8105,85,108,344,1,2548
 to 8106,143,107,344,1,3090
 to 8107,69,109,344,1,3628
 to 8108,69,109,344,1,4167
 to 8109,81,109,344,1,4708
 to 8110,70,109,344,1,5251
 to 8111,93,109,344,1,5795
 to 8112,79,109,344,1,6329
 to 8113,104,109,344,1,6866
 to 8114,100,109,344,1,7403
 to 8115,85,109,344,1,7939
 to 8116,49,109,344,1,8484
Participant2 to 8103,195,473,694,2,9371
Participant2 to 8104,111,473,694,2,10262
Participant2 to 8105,113,473,694,2,11150
Participant2 to 8106,182,472,694,2,12049
Participant2 to 8107,112,472,694,2,12943
Participant2 to 8108,111,473,694,2,13831
Participant2 to 8109,115,473,694,2,14713
Participant2 to 8110,129,473,694,2,15605
Participant2 to 8111,121,472,694,2,16487
Participant2 to 8112,135,473,694,2,17372
Participant2 to 8113,144,472,694,2,18266
Participant2 to 8114,153,473,694,2,19157
Participant2 to 8115,154,473,694,2,20040
Participant2 to 8116,133,472,694,2,20928
Participant3 to 8104,258,1171,1744,5,22868
Participant3 to 8105,184,1171,1744,5,24811
Participant3 to 8106,201,1170,1744,5,26749
Participant3 to 8107,203,1171,1744,5,28692
Participant3 to 8108,210,1171,1744,5,30629
Participant3 to 8109,196,1170,1744,5,32569
Participant3 to 8110,220,1171,1744,5,34509
Participant3 to 8111,234,1171,1744,5,36444
Participant3 to 8112,184,1171,1744,5,38384
Participant3 to 8113,269,1171,1744,5,40316
Participant3 to 8114,269,1170,1744,5,42248
Participant3 to 8115,319,1171,1744,5,44181
Participant3 to 8116,250,1171,1744,5,46112
Participant4 to 8105,415,2937,4194,12,50501
Participant4 to 8106,315,2938,4194,12,54889
Participant4 to 8107,339,2938,4194,12,59281
Participant4 to 8108,383,2937,4194,12,63676
Participant4 to 8109,332,2938,4194,12,68067
Participant4 to 8110,379,2938,4194,12,72449
Participant4 to 8111,380,2938,4194,12,76839
Participant4 to 8112,382,2938,4194,12,81233
Participant4 to 8113,184,2938,4194,12,85624
Participant4 to 8114,228,2938,4194,12,90013
Participant4 to 8115,220,2938,4194,12,94402
Participant4 to 8116,135,2938,4194,12,98795
Participant5 to 8106,908,7198,10144,29,109130
Participant5 to 8107,821,7198,10144,29,119473
Participant5 to 8108,851,7198,10144,29,129806
Participant5 to 8109,782,7198,10144,29,140141
