Participant,Time to Receive,Size of Message,Data size on server
participant2,504,20,
participant3,645,20,
participant4,568,20,
participant5,688,20,
participant6,548,20,
participant3,619,20,
participant4,658,20,
participant5,578,20,
participant6,616,20,
participant4,532,20,
participant5,580,20,
participant6,646,20,
participant5,541,20,
participant6,510,20,
participant6,543,20,
participant3,585,20,
participant5,493,20,
participant1,598,20,
participant4,641,20,
participant6,568,20,
participant4,534,20,
participant6,564,20,
participant2,499,20,
participant7,583,20,
participant5,590,20,
participant3,545,20,
participant5,531,20,
participant2,579,20,
participant4,530,20,
participant1,637,20,
participant2,559,20,
participant8,487,20,
participant7,556,20,
participant5,459,20,
participant4,596,20,
participant10,531,20,
participant9,569,20,
participant4,554,20,
participant5,495,20,
participant1,591,20,
participant2,581,20,
participant5,532,20,
participant11,569,20,
participant3,572,20,
participant7,504,20,
participant5,741,20,
participant9,681,20,
participant6,514,20,
participant1,521,20,
participant4,607,20,
participant4,532,20,
participant6,508,20,
participant9,611,20,
participant12,595,20,
participant1,514,20,
participant9,595,20,
participant4,451,20,
participant7,620,20,
participant11,508,20,
participant14,552,20,
participant7,594,20,
participant9,571,20,
participant5,564,20,
participant14,597,20,
participant4,534,20,
participant11,523,20,
participant12,573,20,
participant16,535,20,
participant5,509,20,
participant13,483,20,
participant13,561,20,
participant7,623,20,
participant1,501,20,
participant3,527,20,
participant9,573,20,
participant6,600,20,
participant4,533,20,
participant16,577,20,
participant14,530,20,
participant1,567,20,
participant4,525,20,
participant2,602,20,
participant17,598,20,
participant12,529,20,
participant18,537,20,
