Participant,Time to Receive,Size of Message,Data size on server
Participant2,9,1,940
Participant3,3,1,1480
Participant4,3,1,2023
Participant3,4,2,2906
Participant4,17,2,3798
Participant4,30,5,5730
Participant4,10,1,6268
Participant3,16,1,6802
Participant2,3,1,7345
Participant3,14,1,7882
Participant2,12,1,8417
Participant4,30,1,8957
Participant2,15,1,9499
Participant3,14,1,10034
Participant4,13,1,10581
Participant4,8,1,11122
Participant3,8,1,11655
Participant2,5,1,12198
Participant8,2,1,12734
Participant4,16,1,13274
Participant6,2,1,13811
Participant4,2,1,14343
Participant8,13,1,14879
Participant6,14,1,15406
Participant4,15,1,15949
Participant9,9,1,16487
Participant7,2,1,17022
Participant9,2,1,17565
Participant11,15,1,18104
Participant8,2,1,18642
Participant6,3,1,19182
Participant3,2,1,19725
Participant4,2,1,20264
Participant2,2,1,20805
Participant6,17,1,21341
Participant4,17,1,21877
,2,1,22413
Participant3,22,1,22958
Participant2,14,1,23491
