Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,42,109,344,1,940
 to 8103,40,109,344,1,1480
 to 8104,47,109,344,1,2023
Participant2 to 8103,77,467,694,2,2906
Participant2 to 8104,60,465,694,2,3798
Participant3 to 8104,69,1178,1744,5,5730
Participant5 to 8104,189,121,344,1,6268
Participant5 to 8103,40,121,344,1,6802
Participant5 to 8102,41,121,344,1,7345
Participant6 to 8103,189,121,344,1,7882
Participant6 to 8102,64,120,344,1,8417
Participant6 to 8104,84,120,344,1,8957
Participant7 to 8102,205,121,344,1,9499
Participant7 to 8103,65,121,344,1,10034
Participant7 to 8104,60,121,344,1,10581
Participant8 to 8104,161,119,344,1,11122
Participant8 to 8103,42,121,344,1,11655
Participant8 to 8102,34,121,344,1,12198
Participant9 to 8108,154,121,344,1,12734
Participant9 to 8104,37,121,344,1,13274
Participant9 to 8106,38,121,344,1,13811
Participant10 to 8104,152,122,344,1,14343
Participant10 to 8108,35,122,344,1,14879
Participant10 to 8106,37,121,344,1,15406
Participant11 to 8104,153,122,344,1,15949
Participant11 to 8109,63,122,344,1,16487
Participant11 to 8107,46,122,344,1,17022
Participant12 to 8109,39,122,344,1,17565
Participant12 to 8111,40,121,344,1,18104
Participant12 to 8108,36,122,344,1,18642
Participant13 to 8106,160,122,344,1,19182
Participant13 to 8103,36,122,344,1,19725
Participant13 to 8104,38,121,344,1,20264
Participant14 to 8102,45,122,344,1,20805
Participant14 to 8106,42,122,344,1,21341
Participant14 to 8104,69,122,344,1,21877
Participant15 to 8101,48,120,344,1,22413
Participant15 to 8103,80,122,344,1,22958
Participant15 to 8102,38,122,344,1,23491
