Participant,Time to Receive,Size of Message,Data size on server
participant3,551,20,
participant2,601,20,
participant3,496,20,
participant4,545,20,
participant5,543,20,
participant6,527,20,
participant7,488,20,
participant8,433,20,
participant9,626,20,
participant10,596,20,
participant11,506,20,
participant3,545,20,
participant4,519,20,
participant5,534,20,
participant6,483,20,
participant7,555,20,
participant8,516,20,
participant9,472,20,
participant10,525,20,
participant11,500,20,
participant4,500,20,
participant5,570,20,
participant6,596,20,
participant7,577,20,
participant8,523,20,
participant9,552,20,
participant10,594,20,
participant11,591,20,
participant5,560,20,
participant6,508,20,
participant7,480,20,
participant8,533,20,
participant9,478,20,
participant10,475,20,
participant11,476,20,
participant6,466,20,
participant7,504,20,
participant8,522,20,
participant9,564,20,
participant10,518,20,
participant11,522,20,
participant7,512,20,
participant8,527,20,
participant9,537,20,
participant10,541,20,
participant11,562,20,
participant8,552,20,
participant9,620,20,
participant10,499,20,
participant11,560,20,
participant9,531,20,
participant10,493,20,
participant11,481,20,
participant10,573,20,
participant11,496,20,
participant11,464,20,
participant2,480,20,
participant11,586,20,
participant4,480,20,
participant7,565,20,
participant1,500,20,
participant3,586,20,
participant5,522,20,
participant6,513,20,
participant10,508,20,
participant9,451,20,
participant10,516,20,
participant11,479,20,
participant5,469,20,
participant1,495,20,
participant6,499,20,
participant3,571,20,
participant2,475,20,
participant4,585,20,
participant7,571,20,
participant9,477,20,
participant4,566,20,
participant10,505,20,
participant8,524,20,
participant6,526,20,
participant13,530,20,
participant3,470,20,
participant2,535,20,
participant5,492,20,
participant1,582,20,
participant11,537,20,
participant1,454,20,
participant13,466,20,
participant12,550,20,
participant4,475,20,
participant7,510,20,
participant8,583,20,
participant9,550,20,
participant6,550,20,
participant2,498,20,
participant10,547,20,
participant5,545,20,
participant11,513,20,
participant4,532,20,
participant9,586,20,
participant8,613,20,
participant15,621,20,
participant12,561,20,
participant6,543,20,
participant10,465,20,
participant13,523,20,
participant9,580,20,
participant4,517,20,
participant2,546,20,
participant12,514,20,
participant3,476,20,
participant5,541,20,
participant11,526,20,
participant8,469,20,
participant10,550,20,
participant13,631,20,
participant10,545,20,
participant5,443,20,
participant11,490,20,
participant7,464,20,
participant6,565,20,
participant8,558,20,
participant16,511,20,
participant13,523,20,
participant1,533,20,
participant15,534,20,
participant4,562,20,
participant2,471,20,
participant8,459,20,
participant13,459,20,
participant6,527,20,
participant9,580,20,
participant14,512,20,
participant7,558,20,
participant1,506,20,
participant5,534,20,
participant2,520,20,
participant9,541,20,
participant14,514,20,
participant8,619,20,
participant18,453,20,
participant10,520,20,
participant17,495,20,
participant13,569,20,
participant15,510,20,
participant5,555,20,
