Participant,Time to Receive,Size of Message,Data size on server
participant2,1041,20,
participant3,611,20,
participant4,658,20,
participant5,666,20,
participant6,601,20,
participant3,516,20,
participant4,554,20,
participant5,457,20,
participant6,535,20,
participant4,496,20,
participant5,522,20,
participant6,544,20,
participant5,618,20,
participant6,617,20,
participant6,567,20,
participant4,513,20,
participant3,545,20,
participant5,459,20,
participant1,547,20,
participant2,506,20,
participant6,568,20,
participant3,530,20,
participant2,469,20,
participant5,477,20,
participant1,558,20,
participant4,496,20,
participant5,498,20,
participant1,608,20,
participant2,530,20,
participant6,582,20,
participant2,531,20,
participant5,477,20,
participant3,513,20,
participant4,541,20,
participant8,509,20,
participant2,505,20,
participant1,539,20,
participant5,540,20,
participant4,591,20,
participant10,586,20,
participant2,606,20,
participant3,554,20,
participant8,582,20,
participant5,532,20,
participant6,596,20,
participant6,584,20,
participant5,509,20,
participant2,463,20,
participant8,492,20,
participant9,514,20,
participant3,580,20,
participant11,532,20,
participant4,575,20,
participant2,539,20,
participant12,509,20,
participant12,507,20,
participant6,555,20,
participant4,526,20,
participant14,528,20,
participant2,485,20,
participant12,497,20,
participant5,498,20,
participant10,510,20,
participant7,473,20,
participant8,482,20,
participant10,537,20,
participant12,577,20,
participant6,469,20,
participant2,491,20,
participant13,624,20,
participant3,553,20,
participant13,542,20,
participant2,488,20,
participant12,495,20,
participant1,491,20,
participant2,535,20,
participant9,504,20,
participant1,555,20,
participant14,495,20,
participant6,545,20,
participant1,451,20,
participant2,477,20,
participant11,567,20,
participant15,545,20,
participant10,588,20,
