Participant,Time to Receive,Size of Message,Data size on server
participant2,537,20,
participant3,636,20,
participant4,483,20,
participant5,637,20,
participant6,511,20,
participant3,528,20,
participant4,521,20,
participant5,529,20,
participant6,600,20,
participant4,496,20,
participant5,497,20,
participant6,537,20,
participant5,572,20,
participant6,543,20,
participant6,637,20,
participant4,507,20,
participant3,500,20,
participant5,584,20,
participant1,552,20,
participant2,557,20,
participant6,532,20,
participant3,480,20,
participant2,569,20,
participant5,519,20,
participant1,478,20,
participant4,562,20,
participant5,549,20,
participant1,481,20,
participant2,530,20,
participant6,555,20,
participant2,517,20,
participant5,461,20,
participant3,592,20,
participant4,572,20,
participant8,595,20,
participant2,533,20,
participant1,526,20,
participant5,476,20,
participant4,659,20,
participant10,503,20,
participant2,473,20,
participant3,700,20,
participant8,597,20,
participant5,729,20,
participant6,572,20,
participant6,578,20,
participant5,592,20,
participant2,495,20,
participant8,553,20,
participant9,536,20,
participant3,451,20,
participant11,524,20,
participant4,597,20,
participant2,548,20,
participant12,603,20,
participant12,536,20,
participant6,497,20,
participant4,495,20,
participant14,511,20,
participant2,539,20,
participant12,499,20,
participant5,552,20,
participant10,555,20,
participant7,527,20,
participant8,501,20,
participant10,483,20,
participant12,523,20,
participant6,538,20,
participant2,605,20,
participant13,507,20,
participant3,494,20,
participant13,620,20,
participant2,576,20,
participant12,524,20,
participant1,525,20,
participant2,480,20,
participant9,506,20,
participant1,504,20,
participant14,459,20,
participant6,600,20,
participant1,540,20,
participant2,484,20,
participant11,496,20,
participant15,491,20,
participant10,547,20,
