Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant1 to 8102,18714,7107,9794,28,
participant1 to 8103,17911,7107,9794,28,
participant1 to 8104,3454,7107,9794,28,
participant1 to 8105,17752,7107,9794,28,
participant1 to 8106,18954,7107,9794,28,
participant1 to 8107,17687,7107,9794,28,
participant1 to 8108,17456,7107,9794,28,
participant1 to 8109,18066,7107,9794,28,
participant1 to 8110,16980,7107,9794,28,
participant1 to 8111,16759,7107,9794,28,
participant1 to 8112,17005,7107,9794,28,
participant1 to 8113,17661,7107,9794,28,
participant1 to 8114,16749,7107,9794,28,
participant1 to 8115,17279,7107,9794,28,
participant1 to 8116,17628,7107,9794,28,
participant2 to 8103,16599,7107,9794,28,
participant2 to 8104,18170,7107,9794,28,
participant2 to 8105,16003,7107,9794,28,
participant2 to 8106,15901,7107,9794,28,
participant2 to 8107,16310,7107,9794,28,
participant2 to 8108,17491,7107,9794,28,
participant2 to 8109,16146,7107,9794,28,
participant2 to 8110,16142,7107,9794,28,
participant2 to 8111,15956,7107,9794,28,
participant2 to 8112,16375,7107,9794,28,
participant2 to 8113,15945,7107,9794,28,
participant2 to 8114,16000,7107,9794,28,
participant2 to 8115,16187,7107,9794,28,
participant2 to 8116,15942,7107,9794,28,
participant3 to 8104,18255,7107,9794,28,
participant3 to 8105,16167,7107,9794,28,
participant3 to 8106,16049,7107,9794,28,
participant3 to 8107,16036,7107,9794,28,
participant3 to 8108,16001,7107,9794,28,
participant3 to 8109,2800,7107,9794,28,
participant3 to 8110,15936,7107,9794,28,
participant3 to 8111,16107,7107,9794,28,
participant3 to 8112,16097,7107,9794,28,
participant3 to 8113,16094,7107,9794,28,
participant3 to 8114,15951,7107,9794,28,
participant3 to 8115,17179,7107,9794,28,
participant3 to 8116,16145,7107,9794,28,
participant4 to 8105,16176,7107,9794,28,
participant4 to 8106,16175,7107,9794,28,
participant4 to 8107,15987,7107,9794,28,
participant4 to 8108,16167,7107,9794,28,
participant4 to 8109,15953,7107,9794,28,
participant4 to 8110,15971,7107,9794,28,
participant4 to 8111,15865,7107,9794,28,
participant4 to 8112,16794,7107,9794,28,
participant4 to 8113,16214,7107,9794,28,
participant4 to 8114,16032,7107,9794,28,
participant4 to 8115,16221,7107,9794,28,
participant4 to 8116,17659,7107,9794,28,
participant5 to 8106,16026,7107,9794,28,
participant5 to 8107,16042,7107,9794,28,
participant5 to 8108,16131,7107,9794,28,
participant5 to 8109,16104,7107,9794,28,
participant5 to 8110,16627,7107,9794,28,
participant5 to 8111,1363,7107,9794,28,
participant5 to 8112,17545,7107,9794,28,
participant5 to 8113,16995,7107,9794,28,
participant5 to 8114,16183,7107,9794,28,
participant5 to 8115,1287,7107,9794,28,
participant5 to 8116,16321,7107,9794,28,
participant6 to 8107,17537,7107,9794,28,
participant6 to 8108,16064,7107,9794,28,
participant6 to 8109,16778,7107,9794,28,
participant6 to 8110,16950,7107,9794,28,
participant6 to 8111,16113,7107,9794,28,
participant6 to 8112,16870,7107,9794,28,
participant6 to 8113,16548,7107,9794,28,
participant6 to 8114,16235,7107,9794,28,
participant6 to 8115,16830,7107,9794,28,
participant6 to 8116,17007,7107,9794,28,
participant7 to 8108,16195,7107,9794,28,
participant7 to 8109,16368,7107,9794,28,
participant7 to 8110,15946,7107,9794,28,
participant7 to 8111,15912,7107,9794,28,
participant7 to 8112,16576,7107,9794,28,
participant7 to 8113,16472,7107,9794,28,
participant7 to 8114,1346,7107,9794,28,
participant7 to 8115,15948,7107,9794,28,
participant7 to 8116,16397,7107,9794,28,
