Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant20 to 8103,15786,5114,6994,20,
participant1 to 8102,18055,5113,6994,20,
participant1 to 8103,33156,5113,6994,20,
participant1 to 8104,15781,5113,6994,20,
participant1 to 8105,16547,5113,6994,20,
participant1 to 8106,50615,5113,6994,20,
participant1 to 8107,16663,5113,6994,20,
participant1 to 8108,31699,5113,6994,20,
participant1 to 8109,15963,5113,6994,20,
participant1 to 8110,16120,5113,6994,20,
participant1 to 8111,31436,5113,6994,20,
participant2 to 8103,15817,5113,6994,20,
participant2 to 8104,16680,5113,6994,20,
participant2 to 8105,15757,5113,6994,20,
participant2 to 8106,15889,5113,6994,20,
participant2 to 8107,16242,5113,6994,20,
participant2 to 8108,15758,5113,6994,20,
participant2 to 8109,15713,5113,6994,20,
participant2 to 8110,15754,5113,6994,20,
participant2 to 8111,60802,5113,6994,20,
participant3 to 8104,15749,5113,6994,20,
participant3 to 8105,15710,5113,6994,20,
participant3 to 8106,15849,5113,6994,20,
participant3 to 8107,17054,5113,6994,20,
participant3 to 8108,15804,5113,6994,20,
participant3 to 8109,30950,5113,6994,20,
participant3 to 8110,19259,5113,6994,20,
participant3 to 8111,15938,5113,6994,20,
participant4 to 8105,15863,5113,6994,20,
participant4 to 8106,30861,5113,6994,20,
participant4 to 8107,30845,5113,6994,20,
participant4 to 8108,16143,5113,6994,20,
participant4 to 8109,16293,5113,6994,20,
participant4 to 8110,15954,5113,6994,20,
participant4 to 8111,15756,5113,6994,20,
participant5 to 8106,15767,5113,6994,20,
participant5 to 8107,15854,5113,6994,20,
participant5 to 8108,15745,5113,6994,20,
participant5 to 8109,15753,5113,6994,20,
participant5 to 8110,15911,5113,6994,20,
participant5 to 8111,15873,5113,6994,20,
participant6 to 8107,15778,5113,6994,20,
participant6 to 8108,15703,5113,6994,20,
participant6 to 8109,15974,5113,6994,20,
participant6 to 8110,16070,5113,6994,20,
participant6 to 8111,15753,5113,6994,20,
participant7 to 8108,16742,5113,6994,20,
participant7 to 8109,16826,5113,6994,20,
participant7 to 8110,15776,5113,6994,20,
participant7 to 8111,15776,5113,6994,20,
participant8 to 8109,31107,5113,6994,20,
participant8 to 8110,1703,5113,6994,20,
participant8 to 8111,15620,5113,6994,20,
participant9 to 8110,15800,5113,6994,20,
participant9 to 8111,16237,5113,6994,20,
participant10 to 8111,16612,5114,6994,20,
participant12 to 8102,15766,5114,6994,20,
participant12 to 8111,15786,5114,6994,20,
participant12 to 8104,15713,5114,6994,20,
participant12 to 8107,15909,5114,6994,20,
participant12 to 8101,31008,5114,6994,20,
participant12 to 8103,15986,5114,6994,20,
participant12 to 8105,15801,5114,6994,20,
participant12 to 8106,30938,5114,6994,20,
participant12 to 8110,17118,5114,6994,20,
participant12 to 8109,15876,5114,6994,20,
participant13 to 8110,16190,5114,6994,20,
participant13 to 8111,30701,5114,6994,20,
participant13 to 8105,15714,5114,6994,20,
participant13 to 8101,15766,5114,6994,20,
participant13 to 8106,15677,5114,6994,20,
participant13 to 8103,30818,5114,6994,20,
participant13 to 8102,31207,5114,6994,20,
participant13 to 8104,16117,5114,6994,20,
participant13 to 8107,1702,5114,6994,20,
participant13 to 8109,30747,5114,6994,20,
participant14 to 8104,16600,5114,6994,20,
participant14 to 8110,30814,5114,6994,20,
