Participant,Time to Receive,Size of Message,Data size on server
participant2,671,20,
participant3,693,20,
participant4,522,20,
participant5,548,20,
participant6,524,20,
participant7,597,20,
participant8,525,20,
participant3,561,20,
participant4,523,20,
participant5,487,20,
participant6,551,20,
participant7,622,20,
participant8,597,20,
participant4,565,20,
participant5,565,20,
participant6,576,20,
participant7,469,20,
participant8,486,20,
participant5,681,20,
participant6,505,20,
participant7,437,20,
participant8,583,20,
participant6,481,20,
participant7,583,20,
participant8,573,20,
participant7,488,20,
participant8,572,20,
participant8,521,20,
participant3,568,20,
participant6,571,20,
participant2,1108,20,
participant8,477,20,
participant5,555,20,
participant7,561,20,
participant4,553,20,
participant4,491,20,
participant9,617,20,
participant6,487,20,
participant2,503,20,
participant1,531,20,
participant3,519,20,
participant8,594,20,
participant9,499,20,
participant1,466,20,
participant10,699,20,
participant7,560,20,
participant6,587,20,
participant2,501,20,
participant5,617,20,
participant1,531,20,
participant7,508,20,
participant11,313,20,
participant2,495,20,
participant4,513,20,
participant10,546,20,
participant6,546,20,
participant7,538,20,
participant9,633,20,
participant5,519,20,
participant11,512,20,
participant8,477,20,
participant2,516,20,
participant3,527,20,
participant11,470,20,
participant5,507,20,
participant1,508,20,
participant9,491,20,
participant8,498,20,
participant4,550,20,
participant7,512,20,
participant9,521,20,
participant1,529,20,
participant3,688,20,
participant13,595,20,
participant2,557,20,
participant11,618,20,
participant14,546,20,
participant9,674,20,
participant2,497,20,
participant12,560,20,
participant11,555,20,
participant1,542,20,
participant10,527,20,
participant8,518,20,
participant11,576,20,
participant16,632,20,
participant3,559,20,
participant6,590,20,
participant2,548,20,
participant1,450,20,
participant7,516,20,
participant7,564,20,
participant12,517,20,
participant4,567,20,
participant9,558,20,
participant16,505,20,
participant11,559,20,
participant2,602,20,
participant7,550,20,
participant6,533,20,
participant4,620,20,
participant13,474,20,
participant10,553,20,
participant5,496,20,
participant16,450,20,
participant8,524,20,
participant16,533,20,
participant12,593,20,
participant3,527,20,
participant1,536,20,
participant10,466,20,
participant5,561,20,
