Participant,Time to Receive,Size of Message,Data size on server
participant2,1494,20,
participant3,1323,20,
participant3,600,20,
participant2,1226,20,
participant3,1188,20,
participant3,526,20,
participant2,1464,20,
participant3,1382,20,
participant3,539,20,
participant2,1008,20,
participant3,1186,20,
participant3,602,20,
participant2,1183,20,
participant3,1318,20,
participant3,537,20,
participant2,1315,20,
participant3,1311,20,
participant4,1503,20,
participant5,1115,20,
participant6,1134,20,
participant7,1071,20,
participant8,1081,20,
participant9,979,20,
participant10,988,20,
participant11,1255,20,
participant3,498,20,
participant4,530,20,
participant5,456,20,
participant6,552,20,
participant7,551,20,
participant8,465,20,
participant9,551,20,
participant10,521,20,
participant11,481,20,
participant4,491,20,
participant5,475,20,
participant6,515,20,
participant7,552,20,
participant8,530,20,
participant9,575,20,
participant10,466,20,
participant11,469,20,
participant5,525,20,
participant6,457,20,
participant7,536,20,
participant8,497,20,
participant9,516,20,
participant10,588,20,
participant11,518,20,
participant6,489,20,
participant7,467,20,
participant8,535,20,
participant9,506,20,
participant10,526,20,
participant11,571,20,
participant7,469,20,
participant8,552,20,
participant9,520,20,
participant10,649,20,
participant11,556,20,
participant8,559,20,
participant9,492,20,
participant10,500,20,
participant11,507,20,
participant9,520,20,
participant10,498,20,
participant11,529,20,
participant10,612,20,
participant11,544,20,
participant11,659,20,
participant11,688,20,
participant2,463,20,
participant3,506,20,
participant4,508,20,
participant7,459,20,
participant6,528,20,
participant8,478,20,
participant5,444,20,
participant1,459,20,
participant9,514,20,
participant12,562,20,
participant1,472,20,
participant11,527,20,
participant2,536,20,
participant4,482,20,
participant5,505,20,
participant10,519,20,
participant8,565,20,
participant9,584,20,
participant3,545,20,
participant4,514,20,
participant5,508,20,
participant11,468,20,
participant2,482,20,
participant7,497,20,
participant6,520,20,
participant10,510,20,
participant8,559,20,
participant1,513,20,
participant13,458,20,
participant12,584,20,
participant5,535,20,
participant13,472,20,
participant8,480,20,
participant9,579,20,
participant7,519,20,
participant14,498,20,
participant11,517,20,
participant4,582,20,
participant1,498,20,
participant2,442,20,
participant14,571,20,
participant3,512,20,
participant9,526,20,
participant11,591,20,
participant6,550,20,
participant10,574,20,
participant8,453,20,
participant4,592,20,
participant12,482,20,
participant15,560,20,
participant2,474,20,
participant4,474,20,
participant8,530,20,
participant10,543,20,
participant11,553,20,
participant9,490,20,
participant14,479,20,
participant1,484,20,
participant16,483,20,
participant16,590,20,
participant7,504,20,
participant9,513,20,
participant15,580,20,
participant4,469,20,
participant11,467,20,
participant8,577,20,
participant2,511,20,
participant6,525,20,
participant14,522,20,
participant6,554,20,
participant4,552,20,
participant7,516,20,
participant2,493,20,
participant12,452,20,
participant14,474,20,
participant15,449,20,
participant18,515,20,
participant8,471,20,
participant10,489,20,
participant17,557,20,
participant14,547,20,
participant13,485,20,
participant5,606,20,
participant6,458,20,
participant1,485,20,
participant7,520,20,
participant19,596,20,
participant12,515,20,
participant3,624,20,
