Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant1 to 8102,19151,5113,6994,20,
participant1 to 8103,34221,5113,6994,20,
participant1 to 8104,16444,5113,6994,20,
participant1 to 8105,46032,5113,6994,20,
participant1 to 8106,16458,5113,6994,20,
participant2 to 8103,31526,5113,6994,20,
participant2 to 8104,46462,5113,6994,20,
participant2 to 8105,15880,5113,6994,20,
participant2 to 8106,47839,5113,6994,20,
participant3 to 8104,31749,5113,6994,20,
participant3 to 8105,17118,5113,6994,20,
participant3 to 8106,15758,5113,6994,20,
participant4 to 8105,46395,5113,6994,20,
participant4 to 8106,15939,5113,6994,20,
participant5 to 8106,31138,5113,6994,20,
participant7 to 8104,15898,5113,6994,20,
participant7 to 8103,16663,5113,6994,20,
participant7 to 8105,45868,5113,6994,20,
participant7 to 8101,15814,5113,6994,20,
participant7 to 8102,15884,5113,6994,20,
participant8 to 8106,16706,5113,6994,20,
participant8 to 8103,15944,5113,6994,20,
participant8 to 8102,31983,5113,6994,20,
participant8 to 8105,15789,5113,6994,20,
participant8 to 8101,32061,5113,6994,20,
participant9 to 8104,15758,5113,6994,20,
participant9 to 8105,16273,5113,6994,20,
participant9 to 8101,16811,5113,6994,20,
participant9 to 8102,15777,5113,6994,20,
participant9 to 8106,15818,5113,6994,20,
participant10 to 8102,17659,5114,6994,20,
participant10 to 8105,31670,5114,6994,20,
participant10 to 8103,16395,5114,6994,20,
participant10 to 8104,16289,5114,6994,20,
participant10 to 8108,15926,5114,6994,20,
participant11 to 8102,15949,5114,6994,20,
participant11 to 8101,15903,5114,6994,20,
participant11 to 8105,16135,5114,6994,20,
participant11 to 8104,30905,5114,6994,20,
participant11 to 8110,31444,5114,6994,20,
participant12 to 8102,46227,5114,6994,20,
participant12 to 8103,16512,5114,6994,20,
participant12 to 8108,31353,5114,6994,20,
participant12 to 8105,16434,5114,6994,20,
participant12 to 8106,31552,5114,6994,20,
participant13 to 8106,31110,5114,6994,20,
participant13 to 8105,16029,5114,6994,20,
participant13 to 8102,30735,5114,6994,20,
participant13 to 8108,15780,5114,6994,20,
participant13 to 8109,16019,5114,6994,20,
participant14 to 8103,15977,5114,6994,20,
participant14 to 8111,16000,5114,6994,20,
participant14 to 8104,31057,5114,6994,20,
participant14 to 8102,31347,5114,6994,20,
participant14 to 8112,16072,5114,6994,20,
participant15 to 8112,15743,5114,6994,20,
participant15 to 8106,31686,5114,6994,20,
participant15 to 8104,31756,5114,6994,20,
participant15 to 8114,46067,5114,6994,20,
participant15 to 8102,16555,5114,6994,20,
participant16 to 8112,15952,5114,6994,20,
participant16 to 8105,17390,5114,6994,20,
participant16 to 8110,15773,5114,6994,20,
participant16 to 8107,16583,5114,6994,20,
participant16 to 8108,30841,5114,6994,20,
participant17 to 8110,15910,5114,6994,20,
participant17 to 8112,30847,5114,6994,20,
participant17 to 8106,15762,5114,6994,20,
participant17 to 8102,17650,5114,6994,20,
participant17 to 8113,30983,5114,6994,20,
participant18 to 8103,16049,5114,6994,20,
participant18 to 8113,15875,5114,6994,20,
participant18 to 8102,31655,5114,6994,20,
participant18 to 8112,16130,5114,6994,20,
participant18 to 8101,30819,5114,6994,20,
participant19 to 8102,15776,5114,6994,20,
participant19 to 8109,15796,5114,6994,20,
participant19 to 8101,17109,5114,6994,20,
participant19 to 8114,17651,5114,6994,20,
participant19 to 8106,31606,5114,6994,20,
participant20 to 8101,15823,5114,6994,20,
participant20 to 8102,16800,5114,6994,20,
participant20 to 8111,15832,5114,6994,20,
participant20 to 8115,46085,5114,6994,20,
participant20 to 8110,15940,5114,6994,20,
