Participant,Time to Receive,Size of Message,Data size on server
Participant2,3,1,937
Participant3,5,1,1476
Participant4,4,1,2015
Participant5,4,1,2552
Participant6,4,1,3086
Participant3,15,2,3970
Participant4,15,2,4868
Participant5,31,2,5762
Participant6,25,2,6654
Participant4,47,5,8591
Participant5,24,5,10528
Participant6,35,5,12470
Participant5,67,12,16856
Participant6,70,12,21252
Participant6,126,29,31590
Participant5,10,1,32133
Participant2,1,1,32666
Participant6,15,1,33206
,8,1,33742
Participant4,1,1,34275
Participant2,1,1,34814
Participant4,10,1,35357
Participant3,3,1,35896
,15,1,36430
Participant6,15,1,36972
Participant4,2,1,37509
Participant8,4,1,38049
Participant3,16,1,38580
Participant2,4,1,39119
Participant6,2,1,39651
,14,1,40191
Participant8,7,1,40726
Participant4,2,1,41261
Participant5,1,1,41804
Participant2,1,1,42340
Participant10,4,1,42884
Participant3,6,1,43426
Participant9,3,1,43970
Participant2,15,1,44508
Participant7,5,1,45044
Participant8,2,1,45584
Participant4,4,1,46130
Participant5,6,1,46666
Participant11,16,1,47205
,1,1,47745
Participant10,2,1,48289
Participant11,15,1,48827
Participant9,2,1,49356
Participant7,2,1,49895
Participant12,3,1,50428
Participant8,16,1,50968
Participant10,3,1,51512
,18,1,52049
Participant4,2,1,52582
Participant9,3,1,53120
,2,1,53662
Participant11,1,1,54201
Participant2,3,1,54742
Participant4,8,1,55277
Participant6,2,1,55814
