Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8102,31,107,344,1,937
 to 8103,40,109,344,1,1476
 to 8104,37,108,344,1,2015
 to 8105,40,108,344,1,2552
 to 8106,37,109,344,1,3086
Participant2 to 8103,55,458,694,2,3970
Participant2 to 8104,36,460,694,2,4868
Participant2 to 8105,52,460,694,2,5762
Participant2 to 8106,50,460,694,2,6654
Participant3 to 8104,85,1171,1744,5,8591
Participant3 to 8105,84,1170,1744,5,10528
Participant3 to 8106,84,1171,1744,5,12470
Participant4 to 8105,121,2951,4194,12,16856
Participant4 to 8106,121,2950,4194,12,21252
Participant5 to 8106,191,7211,10144,29,31590
Participant7 to 8105,53,121,344,1,32133
Participant7 to 8102,40,121,344,1,32666
Participant7 to 8106,35,121,344,1,33206
Participant7 to 8101,45,121,344,1,33742
Participant7 to 8104,37,121,344,1,34275
Participant8 to 8102,45,120,344,1,34814
Participant8 to 8104,39,121,344,1,35357
Participant8 to 8103,42,121,344,1,35896
Participant8 to 8101,38,120,344,1,36430
Participant8 to 8106,45,121,344,1,36972
Participant9 to 8104,52,121,344,1,37509
Participant9 to 8108,52,121,344,1,38049
Participant9 to 8103,40,120,344,1,38580
Participant9 to 8102,46,121,344,1,39119
Participant9 to 8106,43,121,344,1,39651
Participant10 to 8101,43,121,344,1,40191
Participant10 to 8108,55,122,344,1,40726
Participant10 to 8104,53,122,344,1,41261
Participant10 to 8105,46,122,344,1,41804
Participant10 to 8102,38,122,344,1,42340
Participant11 to 8110,44,122,344,1,42884
Participant11 to 8103,46,121,344,1,43426
Participant11 to 8109,50,122,344,1,43970
Participant11 to 8102,50,122,344,1,44508
Participant11 to 8107,52,122,344,1,45044
Participant12 to 8108,53,122,344,1,45584
Participant12 to 8104,73,122,344,1,46130
Participant12 to 8105,50,121,344,1,46666
Participant12 to 8111,42,122,344,1,47205
Participant12 to 8101,45,121,344,1,47745
Participant13 to 8110,48,121,344,1,48289
Participant13 to 8111,48,122,344,1,48827
Participant13 to 8109,53,122,344,1,49356
Participant13 to 8107,44,122,344,1,49895
Participant13 to 8112,45,121,344,1,50428
Participant14 to 8108,44,121,344,1,50968
Participant14 to 8110,51,121,344,1,51512
Participant14 to 8101,49,122,344,1,52049
Participant14 to 8104,49,121,344,1,52582
Participant14 to 8109,61,122,344,1,53120
Participant15 to 8101,52,122,344,1,53662
Participant15 to 8111,53,121,344,1,54201
Participant15 to 8102,82,122,344,1,54742
Participant15 to 8104,60,122,344,1,55277
Participant15 to 8106,79,122,344,1,55814
