Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
 to 8103,77,109,344,1,944
 to 8104,63,108,344,1,1483
 to 8105,73,109,344,1,2025
 to 8106,93,108,344,1,2562
 to 8107,85,109,344,1,3096
 to 8108,82,109,344,1,3627
Participant2 to 8103,125,121,344,1,4164
Participant2 to 8104,78,121,344,1,4701
Participant2 to 8105,96,121,344,1,5242
Participant2 to 8106,88,121,344,1,5780
Participant2 to 8107,59,121,344,1,6317
Participant2 to 8108,63,121,344,1,6859
Participant3 to 8104,140,814,1394,4,8442
Participant3 to 8105,101,814,1394,4,10023
Participant3 to 8106,109,814,1394,4,11611
Participant3 to 8107,101,814,1394,4,13212
Participant3 to 8108,92,814,1394,4,14806
Participant4 to 8105,192,2240,3144,9,18145
Participant4 to 8106,171,2239,3144,9,21488
Participant4 to 8107,175,2240,3144,9,24829
Participant4 to 8108,192,2240,3144,9,28162
Participant5 to 8106,311,5443,7694,22,36051
Participant5 to 8107,338,5443,7694,22,43943
Participant5 to 8108,316,5442,7694,22,51830
Participant6 to 8107,466,13234,18194,53,70220
Participant6 to 8108,373,13234,18194,53,88611
Participant7 to 8108,873,31667,43394,126,132203
Participant9 to 8106,131,121,344,1,132749
Participant9 to 8108,85,121,344,1,133289
Participant9 to 8102,200,121,344,1,133829
Participant9 to 8107,138,121,344,1,134368
Participant9 to 8104,130,121,344,1,134906
Participant9 to 8101,136,121,344,1,135451
Participant9 to 8103,132,121,344,1,135988
Participant10 to 8102,132,122,344,1,136529
Participant10 to 8106,169,122,344,1,137074
Participant10 to 8104,138,122,344,1,137611
Participant10 to 8109,176,122,344,1,138154
Participant10 to 8105,182,122,344,1,138697
Participant10 to 8101,199,122,344,1,139230
Participant10 to 8107,116,122,344,1,139762
Participant11 to 8104,162,122,344,1,140301
Participant11 to 8110,85,122,344,1,140837
Participant11 to 8102,153,122,344,1,141367
Participant11 to 8107,109,122,344,1,141909
Participant11 to 8105,158,122,344,1,142454
Participant11 to 8103,170,122,344,1,142991
Participant11 to 8109,154,122,344,1,143539
Participant12 to 8103,188,122,344,1,144079
Participant12 to 8104,175,122,344,1,144625
Participant12 to 8111,81,122,344,1,145171
Participant12 to 8106,126,122,344,1,145707
Participant12 to 8102,132,121,344,1,146247
Participant12 to 8101,172,121,344,1,146790
Participant12 to 8105,167,122,344,1,147318
Participant13 to 8110,97,122,344,1,147857
Participant13 to 8107,117,121,344,1,148395
Participant13 to 8106,139,122,344,1,148928
Participant13 to 8105,164,122,344,1,149465
Participant13 to 8108,115,121,344,1,149995
Participant13 to 8103,199,122,344,1,150537
Participant13 to 8109,105,122,344,1,151072
Participant14 to 8108,108,122,344,1,151609
Participant14 to 8107,130,121,344,1,152146
Participant14 to 8103,200,122,344,1,152688
Participant14 to 8109,90,122,344,1,153225
Participant14 to 8110,91,121,344,1,153758
Participant14 to 8105,186,122,344,1,154306
Participant14 to 8106,112,122,344,1,154845
Participant15 to 8113,103,122,344,1,155386
Participant15 to 8107,115,122,344,1,155924
Participant15 to 8111,94,122,344,1,156454
Participant15 to 8106,137,122,344,1,156996
Participant15 to 8105,152,122,344,1,157533
Participant15 to 8102,176,122,344,1,158067
Participant15 to 8110,98,122,344,1,158602
