Participant,Time to Receive,Size of Message,Data size on server
Participant3,4,1,944
Participant4,3,1,1483
Participant5,4,1,2025
Participant6,12,1,2562
Participant7,4,1,3096
Participant8,14,1,3627
Participant3,7,1,4164
Participant4,20,1,4701
Participant5,25,1,5242
Participant6,7,1,5780
Participant7,10,1,6317
Participant8,7,1,6859
Participant4,46,4,8442
Participant5,17,4,10023
Participant6,17,4,11611
Participant7,17,4,13212
Participant8,25,4,14806
Participant5,54,9,18145
Participant6,65,9,21488
Participant7,54,9,24829
Participant8,49,9,28162
Participant6,100,22,36051
Participant7,99,22,43943
Participant8,115,22,51830
Participant7,306,53,70220
Participant8,267,53,88611
Participant8,633,126,132203
Participant6,60,1,132749
Participant8,17,1,133289
Participant2,65,1,133829
Participant7,50,1,134368
Participant4,71,1,134906
,65,1,135451
Participant3,49,1,135988
Participant2,63,1,136529
Participant6,113,1,137074
Participant4,67,1,137611
Participant9,26,1,138154
Participant5,93,1,138697
,76,1,139230
Participant7,35,1,139762
Participant4,70,1,140301
Participant10,25,1,140837
Participant2,72,1,141367
Participant7,56,1,141909
Participant5,81,1,142454
Participant3,90,1,142991
Participant9,24,1,143539
Participant3,99,1,144079
Participant4,98,1,144625
Participant11,17,1,145171
Participant6,57,1,145707
Participant2,48,1,146247
,104,1,146790
Participant5,98,1,147318
Participant10,19,1,147857
Participant7,32,1,148395
Participant6,77,1,148928
Participant5,81,1,149465
Participant8,36,1,149995
Participant3,100,1,150537
Participant9,21,1,151072
Participant8,34,1,151609
Participant7,52,1,152146
Participant3,105,1,152688
Participant9,10,1,153225
Participant10,17,1,153758
Participant5,98,1,154306
Participant6,38,1,154845
Participant13,22,1,155386
Participant7,44,1,155924
Participant11,18,1,156454
Participant6,53,1,156996
Participant5,84,1,157533
Participant2,64,1,158067
Participant10,17,1,158602
