Participant,Time to Receive,Size of Message,Data size on server
participant2,606,20,
participant3,630,20,
participant4,547,20,
participant5,660,20,
participant6,562,20,
participant3,525,20,
participant4,599,20,
participant5,471,20,
participant6,547,20,
participant4,519,20,
participant5,536,20,
participant6,546,20,
participant5,589,20,
participant6,608,20,
participant6,525,20,
participant2,521,20,
participant3,509,20,
participant1,503,20,
participant5,515,20,
participant6,504,20,
participant5,521,20,
participant6,515,20,
participant3,503,20,
participant2,474,20,
participant4,560,20,
participant5,499,20,
participant6,522,20,
participant8,585,20,
participant4,509,20,
participant1,548,20,
participant2,476,20,
participant1,560,20,
participant3,561,20,
participant9,459,20,
participant4,486,20,
participant6,531,20,
participant8,550,20,
participant3,540,20,
participant4,469,20,
participant9,516,20,
participant10,469,20,
participant5,500,20,
participant8,550,20,
participant2,499,20,
participant3,576,20,
participant2,548,20,
participant5,511,20,
participant9,467,20,
participant3,469,20,
participant12,481,20,
participant10,600,20,
participant1,534,20,
participant8,456,20,
participant7,534,20,
participant9,487,20,
participant10,547,20,
participant1,506,20,
participant14,468,20,
participant11,496,20,
participant9,537,20,
participant10,457,20,
participant1,597,20,
participant9,520,20,
participant12,505,20,
participant14,458,20,
participant14,497,20,
participant5,456,20,
participant6,508,20,
participant11,493,20,
participant8,546,20,
participant11,510,20,
participant5,516,20,
participant7,578,20,
participant12,544,20,
participant13,488,20,
participant4,509,20,
participant1,529,20,
participant16,534,20,
participant9,492,20,
participant14,518,20,
participant8,485,20,
participant3,509,20,
participant16,556,20,
participant9,474,20,
participant1,514,20,
