Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant1 to 8102,16276,5113,6994,20,
participant1 to 8103,17546,5113,6994,20,
participant1 to 8104,48947,5113,6994,20,
participant1 to 8105,17018,5113,6994,20,
participant1 to 8106,16102,5113,6994,20,
participant1 to 8107,45737,5113,6994,20,
participant1 to 8108,16175,5113,6994,20,
participant2 to 8103,31241,5113,6994,20,
participant2 to 8104,16949,5113,6994,20,
participant2 to 8105,15910,5113,6994,20,
participant2 to 8106,15856,5113,6994,20,
participant2 to 8107,15793,5113,6994,20,
participant2 to 8108,16933,5113,6994,20,
participant3 to 8104,31518,5113,6994,20,
participant3 to 8105,16903,5113,6994,20,
participant3 to 8106,16934,5113,6994,20,
participant3 to 8107,17131,5113,6994,20,
participant3 to 8108,16779,5113,6994,20,
participant4 to 8105,17061,5113,6994,20,
participant4 to 8106,16072,5113,6994,20,
participant4 to 8107,16596,5113,6994,20,
participant4 to 8108,15956,5113,6994,20,
participant5 to 8106,15836,5113,6994,20,
participant5 to 8107,16406,5113,6994,20,
participant5 to 8108,46221,5113,6994,20,
participant6 to 8107,17267,5113,6994,20,
participant6 to 8108,15825,5113,6994,20,
participant7 to 8108,17158,5113,6994,20,
participant9 to 8106,16091,5113,6994,20,
participant9 to 8102,16854,5113,6994,20,
participant9 to 8103,18401,5113,6994,20,
participant9 to 8108,62943,5113,6994,20,
participant9 to 8101,16142,5113,6994,20,
participant9 to 8104,15911,5113,6994,20,
participant9 to 8107,15798,5113,6994,20,
participant10 to 8103,15952,5114,6994,20,
participant10 to 8105,15848,5114,6994,20,
participant10 to 8107,46073,5114,6994,20,
participant10 to 8108,15927,5114,6994,20,
participant10 to 8106,17405,5114,6994,20,
participant10 to 8101,16606,5114,6994,20,
participant10 to 8104,76245,5114,6994,20,
participant11 to 8107,48213,5114,6994,20,
participant11 to 8104,15850,5114,6994,20,
participant11 to 8106,15823,5114,6994,20,
participant11 to 8109,15815,5114,6994,20,
participant11 to 8108,18490,5114,6994,20,
participant11 to 8102,15870,5114,6994,20,
participant11 to 8101,15795,5114,6994,20,
participant12 to 8106,16260,5114,6994,20,
participant12 to 8104,15804,5114,6994,20,
participant12 to 8107,16792,5114,6994,20,
participant12 to 8103,16469,5114,6994,20,
participant12 to 8102,16615,5114,6994,20,
participant12 to 8101,32330,5114,6994,20,
participant12 to 8110,16114,5114,6994,20,
participant13 to 8112,16119,5114,6994,20,
participant13 to 8104,15978,5114,6994,20,
participant13 to 8107,16152,5114,6994,20,
participant13 to 8110,64311,5114,6994,20,
participant13 to 8101,31404,5114,6994,20,
participant13 to 8102,17595,5114,6994,20,
participant13 to 8106,17151,5114,6994,20,
participant14 to 8106,17933,5114,6994,20,
participant14 to 8104,30738,5114,6994,20,
participant14 to 8101,30973,5114,6994,20,
participant14 to 8108,16895,5114,6994,20,
participant14 to 8111,16014,5114,6994,20,
participant14 to 8110,16004,5114,6994,20,
participant14 to 8105,30747,5114,6994,20,
participant15 to 8106,45781,5114,6994,20,
participant15 to 8104,16184,5114,6994,20,
participant15 to 8102,30960,5114,6994,20,
participant15 to 8111,16848,5114,6994,20,
participant15 to 8114,16106,5114,6994,20,
participant15 to 8101,15873,5114,6994,20,
participant15 to 8113,16773,5114,6994,20,
participant16 to 8109,15941,5114,6994,20,
participant16 to 8102,15932,5114,6994,20,
participant16 to 8112,15943,5114,6994,20,
participant16 to 8105,16047,5114,6994,20,
participant16 to 8111,16366,5114,6994,20,
participant16 to 8106,16530,5114,6994,20,
participant16 to 8107,45874,5114,6994,20,
participant17 to 8114,33131,5114,6994,20,
participant17 to 8101,15750,5114,6994,20,
participant17 to 8112,15875,5114,6994,20,
participant17 to 8106,17906,5114,6994,20,
participant17 to 8113,16759,5114,6994,20,
participant17 to 8108,15834,5114,6994,20,
participant17 to 8116,16156,5114,6994,20,
participant18 to 8113,16813,5114,6994,20,
participant18 to 8116,15957,5114,6994,20,
participant18 to 8117,15909,5114,6994,20,
participant18 to 8114,16091,5114,6994,20,
participant18 to 8109,16715,5114,6994,20,
participant18 to 8112,15957,5114,6994,20,
participant18 to 8104,16138,5114,6994,20,
participant19 to 8101,17406,5114,6994,20,
participant19 to 8113,15941,5114,6994,20,
participant19 to 8118,15758,5114,6994,20,
participant19 to 8108,15884,5114,6994,20,
participant19 to 8112,16467,5114,6994,20,
participant19 to 8110,30886,5114,6994,20,
participant19 to 8104,31670,5114,6994,20,
participant20 to 8116,30802,5114,6994,20,
participant20 to 8110,31024,5114,6994,20,
participant20 to 8102,15874,5114,6994,20,
participant20 to 8101,16075,5114,6994,20,
participant20 to 8104,17768,5114,6994,20,
participant20 to 8118,16304,5114,6994,20,
participant20 to 8107,16961,5114,6994,20,
