Participant,Time to Receive,Size of Message,Data size on server
participant2,741,20,
participant3,560,20,
participant4,566,20,
participant5,576,20,
participant6,498,20,
participant7,469,20,
participant8,516,20,
participant3,522,20,
participant4,850,20,
participant5,594,20,
participant6,498,20,
participant7,535,20,
participant8,504,20,
participant4,499,20,
participant5,560,20,
participant6,578,20,
participant7,725,20,
participant8,599,20,
participant5,523,20,
participant6,504,20,
participant7,445,20,
participant8,494,20,
participant6,539,20,
participant7,577,20,
participant8,556,20,
participant7,548,20,
participant8,481,20,
participant8,592,20,
participant6,658,20,
participant2,646,20,
participant3,528,20,
participant8,572,20,
participant1,530,20,
participant4,560,20,
participant7,489,20,
participant3,490,20,
participant5,481,20,
participant7,560,20,
participant8,611,20,
participant6,617,20,
participant1,497,20,
participant4,509,20,
participant7,493,20,
participant4,527,20,
participant6,529,20,
participant9,562,20,
participant8,490,20,
participant2,515,20,
participant1,593,20,
participant6,518,20,
participant4,530,20,
participant7,504,20,
participant3,594,20,
participant2,489,20,
participant1,819,20,
participant10,557,20,
participant12,626,20,
participant4,599,20,
participant7,646,20,
participant10,550,20,
participant1,506,20,
participant2,641,20,
participant6,515,20,
participant6,461,20,
participant4,538,20,
participant1,576,20,
participant8,474,20,
participant11,601,20,
participant10,567,20,
participant5,510,20,
participant6,509,20,
participant4,490,20,
participant2,481,20,
participant11,480,20,
participant14,583,20,
participant1,493,20,
participant13,541,20,
participant9,489,20,
participant2,531,20,
participant12,598,20,
participant5,554,20,
participant11,688,20,
participant6,633,20,
participant7,549,20,
participant14,596,20,
participant1,573,20,
participant12,587,20,
participant6,446,20,
participant13,583,20,
participant8,546,20,
participant16,575,20,
participant13,572,20,
participant16,573,20,
participant17,632,20,
participant14,560,20,
participant9,591,20,
participant12,527,20,
participant4,626,20,
participant1,512,20,
participant13,550,20,
participant18,552,20,
participant8,568,20,
participant12,572,20,
participant10,481,20,
participant4,504,20,
participant16,508,20,
participant10,489,20,
participant2,599,20,
participant1,520,20,
participant4,553,20,
participant18,548,20,
participant7,464,20,
