Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant1 to 8102,32361,5113,6994,20,
participant1 to 8103,15954,5113,6994,20,
participant1 to 8104,16655,5113,6994,20,
participant1 to 8105,32721,5113,6994,20,
participant1 to 8106,31001,5113,6994,20,
participant2 to 8103,31025,5113,6994,20,
participant2 to 8104,16185,5113,6994,20,
participant2 to 8105,61071,5113,6994,20,
participant2 to 8106,33137,5113,6994,20,
participant3 to 8104,31181,5113,6994,20,
participant3 to 8105,15796,5113,6994,20,
participant3 to 8106,15850,5113,6994,20,
participant4 to 8105,30889,5113,6994,20,
participant4 to 8106,32285,5113,6994,20,
participant5 to 8106,15930,5113,6994,20,
participant7 to 8103,16040,5113,6994,20,
participant7 to 8105,15737,5113,6994,20,
participant7 to 8101,16221,5113,6994,20,
participant7 to 8104,16881,5113,6994,20,
participant7 to 8106,60969,5113,6994,20,
participant8 to 8104,15809,5113,6994,20,
participant8 to 8106,30813,5113,6994,20,
participant8 to 8102,15752,5113,6994,20,
participant8 to 8107,18486,5113,6994,20,
participant8 to 8105,15764,5113,6994,20,
participant9 to 8103,15990,5113,6994,20,
participant9 to 8105,17004,5113,6994,20,
participant9 to 8102,16839,5113,6994,20,
participant9 to 8104,30810,5113,6994,20,
participant9 to 8101,16017,5113,6994,20,
participant10 to 8102,46336,5114,6994,20,
participant10 to 8108,18210,5114,6994,20,
participant10 to 8107,15792,5114,6994,20,
participant10 to 8105,15725,5114,6994,20,
participant10 to 8104,16209,5114,6994,20,
participant11 to 8110,45851,5114,6994,20,
participant11 to 8109,15875,5114,6994,20,
participant11 to 8104,17713,5114,6994,20,
participant11 to 8105,17763,5114,6994,20,
participant11 to 8101,30936,5114,6994,20,
participant12 to 8102,32160,5114,6994,20,
participant12 to 8105,30816,5114,6994,20,
participant12 to 8111,16306,5114,6994,20,
participant12 to 8103,16332,5114,6994,20,
participant12 to 8107,15964,5114,6994,20,
participant13 to 8105,63783,5114,6994,20,
participant13 to 8109,15920,5114,6994,20,
participant13 to 8106,31063,5114,6994,20,
participant13 to 8101,31063,5114,6994,20,
participant13 to 8104,45880,5114,6994,20,
participant14 to 8104,31260,5114,6994,20,
participant14 to 8106,16206,5114,6994,20,
participant14 to 8109,19931,5114,6994,20,
participant14 to 8112,17343,5114,6994,20,
participant14 to 8101,17667,5114,6994,20,
participant15 to 8109,31737,5114,6994,20,
participant15 to 8104,76866,5114,6994,20,
participant15 to 8107,19129,5114,6994,20,
participant15 to 8111,15872,5114,6994,20,
participant15 to 8114,45819,5114,6994,20,
participant16 to 8107,16431,5114,6994,20,
participant16 to 8109,45855,5114,6994,20,
participant16 to 8105,15856,5114,6994,20,
participant16 to 8114,16394,5114,6994,20,
participant16 to 8104,15854,5114,6994,20,
participant17 to 8111,60808,5114,6994,20,
participant17 to 8112,16783,5114,6994,20,
participant17 to 8116,45784,5114,6994,20,
participant17 to 8105,16778,5114,6994,20,
participant17 to 8113,16682,5114,6994,20,
participant18 to 8113,30866,5114,6994,20,
participant18 to 8107,18108,5114,6994,20,
participant18 to 8101,30910,5114,6994,20,
participant18 to 8103,15763,5114,6994,20,
participant18 to 8109,15778,5114,6994,20,
participant19 to 8106,16462,5114,6994,20,
participant19 to 8104,17364,5114,6994,20,
participant19 to 8116,17172,5114,6994,20,
participant19 to 8114,15886,5114,6994,20,
participant19 to 8101,92530,5114,6994,20,
participant20 to 8104,15820,5114,6994,20,
participant20 to 8102,45994,5114,6994,20,
participant20 to 8117,60942,5114,6994,20,
participant20 to 8112,15933,5114,6994,20,
participant20 to 8118,16401,5114,6994,20,
