Participant,Time to Receive,Size of Message,Data size on server
participant2,607,20,
participant3,521,20,
participant3,684,20,
participant1,625,20,
participant3,727,20,
participant3,514,20,
participant2,551,20,
participant4,530,20,
participant2,566,20,
participant5,524,20,
participant2,493,20,
participant5,511,20,
participant3,660,20,
participant7,562,20,
participant2,507,20,
participant2,448,20,
participant8,579,20,
participant6,533,20,
participant3,556,20,
participant5,521,20,
participant3,567,20,
participant3,510,20,
participant2,555,20,
participant5,478,20,
participant6,555,20,
participant1,619,20,
participant2,539,20,
participant2,569,20,
participant3,487,20,
participant5,475,20,
participant2,538,20,
participant1,576,20,
participant3,455,20,
participant17,519,20,
participant2,509,20,
participant3,470,20,
participant2,473,20,
