Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant1 to 8102,17572,5113,6994,20,
participant1 to 8103,16120,5113,6994,20,
participant1 to 8104,16047,5113,6994,20,
participant1 to 8105,16878,5113,6994,20,
participant1 to 8106,31017,5113,6994,20,
participant2 to 8103,16701,5113,6994,20,
participant2 to 8104,15889,5113,6994,20,
participant2 to 8105,15742,5113,6994,20,
participant2 to 8106,17190,5113,6994,20,
participant3 to 8104,30842,5113,6994,20,
participant3 to 8105,15908,5113,6994,20,
participant3 to 8106,30964,5113,6994,20,
participant4 to 8105,15762,5113,6994,20,
participant4 to 8106,16791,5113,6994,20,
participant5 to 8106,15878,5113,6994,20,
participant7 to 8104,15793,5113,6994,20,
participant7 to 8103,15753,5113,6994,20,
participant7 to 8105,30911,5113,6994,20,
participant7 to 8101,16062,5113,6994,20,
participant7 to 8102,60932,5113,6994,20,
participant8 to 8106,32400,5113,6994,20,
participant8 to 8103,15739,5113,6994,20,
participant8 to 8102,16107,5113,6994,20,
participant8 to 8105,30992,5113,6994,20,
participant8 to 8101,30876,5113,6994,20,
participant9 to 8104,15823,5113,6994,20,
participant9 to 8105,16276,5113,6994,20,
participant9 to 8101,45886,5113,6994,20,
participant9 to 8102,15863,5113,6994,20,
participant9 to 8106,15756,5113,6994,20,
participant10 to 8102,15787,5114,6994,20,
participant10 to 8105,17452,5114,6994,20,
participant10 to 8103,15919,5114,6994,20,
participant10 to 8104,15843,5114,6994,20,
participant10 to 8108,15936,5114,6994,20,
participant11 to 8102,15814,5114,6994,20,
participant11 to 8101,15707,5114,6994,20,
participant11 to 8105,31761,5114,6994,20,
participant11 to 8104,31108,5114,6994,20,
participant11 to 8110,15679,5114,6994,20,
participant12 to 8102,15764,5114,6994,20,
participant12 to 8103,32462,5114,6994,20,
participant12 to 8108,18020,5114,6994,20,
participant12 to 8105,17697,5114,6994,20,
participant12 to 8106,17583,5114,6994,20,
participant13 to 8106,47013,5114,6994,20,
participant13 to 8105,15913,5114,6994,20,
participant13 to 8102,30874,5114,6994,20,
participant13 to 8108,15800,5114,6994,20,
participant13 to 8109,30786,5114,6994,20,
participant14 to 8103,15675,5114,6994,20,
participant14 to 8111,30924,5114,6994,20,
participant14 to 8104,15923,5114,6994,20,
participant14 to 8102,15811,5114,6994,20,
participant14 to 8112,16915,5114,6994,20,
participant15 to 8112,16244,5114,6994,20,
participant15 to 8106,15844,5114,6994,20,
participant15 to 8104,30740,5114,6994,20,
participant15 to 8114,16844,5114,6994,20,
participant15 to 8102,16491,5114,6994,20,
participant16 to 8112,15961,5114,6994,20,
participant16 to 8105,15904,5114,6994,20,
participant16 to 8110,15762,5114,6994,20,
participant16 to 8107,15972,5114,6994,20,
participant16 to 8108,16223,5114,6994,20,
participant17 to 8110,31227,5114,6994,20,
participant17 to 8112,15778,5114,6994,20,
participant17 to 8106,15783,5114,6994,20,
participant17 to 8102,16647,5114,6994,20,
participant17 to 8113,30815,5114,6994,20,
participant18 to 8103,15691,5114,6994,20,
participant18 to 8113,46159,5114,6994,20,
participant18 to 8102,30991,5114,6994,20,
participant18 to 8112,16299,5114,6994,20,
participant18 to 8101,15962,5114,6994,20,
participant19 to 8102,15981,5114,6994,20,
participant19 to 8109,16787,5114,6994,20,
participant19 to 8101,16248,5114,6994,20,
participant19 to 8114,15664,5114,6994,20,
participant19 to 8106,16728,5114,6994,20,
participant20 to 8101,16104,5114,6994,20,
participant20 to 8102,15852,5114,6994,20,
participant20 to 8111,16624,5114,6994,20,
participant20 to 8115,15727,5114,6994,20,
participant20 to 8110,45859,5114,6994,20,
