Participant,Time to Receive,Size of Message,Data size on server
participant2,687,20,
participant3,655,20,
participant4,509,20,
participant5,508,20,
participant6,532,20,
participant3,502,20,
participant4,448,20,
participant5,580,20,
participant6,528,20,
participant4,518,20,
participant5,722,20,
participant6,546,20,
participant5,567,20,
participant6,514,20,
participant6,534,20,
participant4,464,20,
participant6,556,20,
participant3,513,20,
participant5,574,20,
participant1,683,20,
participant7,515,20,
participant2,508,20,
participant1,533,20,
participant6,529,20,
participant3,553,20,
participant4,562,20,
participant6,634,20,
participant1,553,20,
participant2,570,20,
participant3,566,20,
participant4,514,20,
participant1,556,20,
participant7,556,20,
participant8,666,20,
participant9,524,20,
participant2,534,20,
participant10,496,20,
participant4,517,20,
participant5,564,20,
participant9,582,20,
participant1,513,20,
participant3,519,20,
participant10,470,20,
participant5,490,20,
participant11,490,20,
participant9,490,20,
participant4,515,20,
participant7,631,20,
participant8,546,20,
participant2,489,20,
participant8,496,20,
participant10,542,20,
participant2,567,20,
participant1,636,20,
participant9,444,20,
participant1,581,20,
participant5,569,20,
participant10,573,20,
participant4,541,20,
participant6,494,20,
participant2,575,20,
participant3,586,20,
participant5,550,20,
participant1,507,20,
participant14,490,20,
participant13,529,20,
participant14,490,20,
participant16,583,20,
participant4,565,20,
participant6,607,20,
participant13,501,20,
participant4,594,20,
participant1,618,20,
participant17,552,20,
participant7,615,20,
participant2,432,20,
participant1,537,20,
participant16,562,20,
participant9,539,20,
participant13,619,20,
participant5,490,20,
participant18,591,20,
participant1,535,20,
participant7,519,20,
participant3,532,20,
