Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,Data size on server
participant1 to 8102,31113,5113,6994,20,
participant1 to 8103,19297,5113,6994,20,
participant1 to 8104,30866,5113,6994,20,
participant1 to 8105,16074,5113,6994,20,
participant1 to 8106,32091,5113,6994,20,
participant1 to 8107,17804,5113,6994,20,
participant1 to 8108,18685,5113,6994,20,
participant2 to 8103,15860,5113,6994,20,
participant2 to 8104,16301,5113,6994,20,
participant2 to 8105,31592,5113,6994,20,
participant2 to 8106,15918,5113,6994,20,
participant2 to 8107,15891,5113,6994,20,
participant2 to 8108,15970,5113,6994,20,
participant3 to 8104,16141,5113,6994,20,
participant3 to 8105,32061,5113,6994,20,
participant3 to 8106,18213,5113,6994,20,
participant3 to 8107,15722,5113,6994,20,
participant3 to 8108,17088,5113,6994,20,
participant4 to 8105,76264,5113,6994,20,
participant4 to 8106,17016,5113,6994,20,
participant4 to 8107,16954,5113,6994,20,
participant4 to 8108,15938,5113,6994,20,
participant5 to 8106,31723,5113,6994,20,
participant5 to 8107,18064,5113,6994,20,
participant5 to 8108,16330,5113,6994,20,
participant6 to 8107,15816,5113,6994,20,
participant6 to 8108,16080,5113,6994,20,
participant7 to 8108,16556,5113,6994,20,
participant9 to 8103,16111,5113,6994,20,
participant9 to 8106,15944,5113,6994,20,
participant9 to 8102,16665,5113,6994,20,
participant9 to 8108,16686,5113,6994,20,
participant9 to 8105,15981,5113,6994,20,
participant9 to 8107,15851,5113,6994,20,
participant9 to 8104,16663,5113,6994,20,
participant10 to 8104,15827,5114,6994,20,
participant10 to 8109,16034,5114,6994,20,
participant10 to 8106,31708,5114,6994,20,
participant10 to 8102,16867,5114,6994,20,
participant10 to 8101,31930,5114,6994,20,
participant10 to 8103,16631,5114,6994,20,
participant10 to 8108,16359,5114,6994,20,
participant11 to 8109,15902,5114,6994,20,
participant11 to 8101,30885,5114,6994,20,
participant11 to 8110,31347,5114,6994,20,
participant11 to 8107,31190,5114,6994,20,
participant11 to 8106,16619,5114,6994,20,
participant11 to 8102,15901,5114,6994,20,
participant11 to 8105,16057,5114,6994,20,
participant12 to 8101,61738,5114,6994,20,
participant12 to 8107,16886,5114,6994,20,
participant12 to 8111,16580,5114,6994,20,
participant12 to 8102,15672,5114,6994,20,
participant12 to 8104,15740,5114,6994,20,
participant12 to 8110,31337,5114,6994,20,
participant12 to 8106,15889,5114,6994,20,
participant13 to 8107,30983,5114,6994,20,
participant13 to 8109,31948,5114,6994,20,
participant13 to 8105,15963,5114,6994,20,
participant13 to 8111,15785,5114,6994,20,
participant13 to 8108,16918,5114,6994,20,
participant13 to 8102,15738,5114,6994,20,
participant13 to 8103,16016,5114,6994,20,
participant14 to 8111,31078,5114,6994,20,
participant14 to 8105,16591,5114,6994,20,
participant14 to 8101,17299,5114,6994,20,
participant14 to 8109,15797,5114,6994,20,
participant14 to 8108,76287,5114,6994,20,
participant14 to 8104,16829,5114,6994,20,
participant14 to 8107,31530,5114,6994,20,
participant15 to 8109,17279,5114,6994,20,
participant15 to 8101,15762,5114,6994,20,
participant15 to 8103,16035,5114,6994,20,
participant15 to 8113,30957,5114,6994,20,
participant15 to 8102,15744,5114,6994,20,
participant15 to 8111,16710,5114,6994,20,
participant15 to 8114,15756,5114,6994,20,
participant16 to 8109,30939,5114,6994,20,
participant16 to 8102,30716,5114,6994,20,
participant16 to 8112,16541,5114,6994,20,
participant16 to 8111,30763,5114,6994,20,
participant16 to 8101,16118,5114,6994,20,
participant16 to 8110,15973,5114,6994,20,
participant16 to 8108,45818,5114,6994,20,
participant17 to 8111,31006,5114,6994,20,
participant17 to 8116,15915,5114,6994,20,
participant17 to 8103,15797,5114,6994,20,
participant17 to 8106,16006,5114,6994,20,
participant17 to 8102,30778,5114,6994,20,
participant17 to 8101,17086,5114,6994,20,
participant17 to 8107,15846,5114,6994,20,
participant18 to 8107,15983,5114,6994,20,
participant18 to 8112,30764,5114,6994,20,
participant18 to 8104,15814,5114,6994,20,
participant18 to 8109,17042,5114,6994,20,
participant18 to 8116,31090,5114,6994,20,
participant18 to 8111,15973,5114,6994,20,
participant18 to 8102,15858,5114,6994,20,
participant19 to 8107,15891,5114,6994,20,
participant19 to 8106,16394,5114,6994,20,
participant19 to 8104,30928,5114,6994,20,
participant19 to 8113,16256,5114,6994,20,
participant19 to 8110,16119,5114,6994,20,
participant19 to 8105,30800,5114,6994,20,
participant19 to 8116,16016,5114,6994,20,
participant20 to 8108,15932,5114,6994,20,
participant20 to 8116,15968,5114,6994,20,
participant20 to 8112,15850,5114,6994,20,
participant20 to 8103,46640,5114,6994,20,
participant20 to 8101,15947,5114,6994,20,
participant20 to 8110,18594,5114,6994,20,
participant20 to 8105,30814,5114,6994,20,
